Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0098,3.8e-07,31,0.0003813,0.78,0.66
0.0111,3.7e-07,30,0.0003390,0.52,0.73
0.0125,6.2e-07,51,0.0005191,0.61,0.68
0.0107,3.7e-07,30,0.0003602,0.57,0.69
0.0104,3.3e-07,27,0.0003496,0.55,0.66
0.0146,8.2e-07,67,0.0006250,0.51,0.68
0.0120,4.6e-07,38,0.0004555,0.52,0.64
0.0128,7.1e-07,58,0.0005402,0.64,0.71
0.0123,6.3e-07,52,0.0005085,0.65,0.70
0.0104,3.2e-07,26,0.0003390,0.54,0.66
0.0098,2.9e-07,24,0.0003284,0.60,0.65
0.0121,6.3e-07,52,0.0005085,0.69,0.70
0.0123,6.2e-07,51,0.0004873,0.64,0.72
0.0104,3.3e-07,27,0.0003390,0.56,0.68
0.0140,8.7e-07,71,0.0006568,0.60,0.67
0.0136,5.1e-07,42,0.0004555,0.39,0.68
0.0107,3.7e-07,30,0.0003496,0.57,0.71
0.0101,3.2e-07,26,0.0003390,0.58,0.66
0.0111,3.9e-07,32,0.0003919,0.55,0.66
0.0130,7.2e-07,59,0.0005614,0.63,0.69
0.0106,3.7e-07,30,0.0003813,0.59,0.65
0.0106,3.7e-07,30,0.0003602,0.58,0.69
0.0114,4.1e-07,34,0.0003708,0.53,0.73
0.0112,4.6e-07,38,0.0004343,0.64,0.67
0.0103,2.9e-07,24,0.0003178,0.51,0.67
0.0104,2.9e-07,24,0.0003072,0.50,0.69
0.0110,4.3e-07,35,0.0004025,0.61,0.68
0.0126,6.8e-07,56,0.0005508,0.64,0.68
0.0106,3.5e-07,29,0.0003602,0.57,0.67
0.0113,4.0e-07,33,0.0003708,0.53,0.71
0.0193,1.8e-06,145,0.0010805,0.47,0.65
0.0128,6.5e-07,53,0.0005191,0.58,0.70
0.0099,2.8e-07,23,0.0002966,0.55,0.70
0.0137,7.3e-07,60,0.0005720,0.54,0.69
0.0098,3.3e-07,27,0.0003602,0.68,0.64
0.0161,1.0e-06,85,0.0007627,0.47,0.65
0.0140,8.7e-07,71,0.0006462,0.61,0.68
0.0107,3.7e-07,30,0.0003708,0.58,0.67
0.0139,8.2e-07,67,0.0006250,0.57,0.68
0.0105,3.8e-07,31,0.0003602,0.62,0.70
0.0138,9.3e-07,76,0.0006780,0.67,0.68
0.0111,4.0e-07,33,0.0004025,0.55,0.65
0.0110,3.9e-07,32,0.0003813,0.55,0.68
0.0109,4.0e-07,33,0.0003813,0.60,0.69
0.0104,3.4e-07,28,0.0003496,0.58,0.68
0.0104,3.3e-07,27,0.0003496,0.55,0.66
0.0108,3.8e-07,31,0.0003813,0.57,0.66
0.0109,3.9e-07,32,0.0003813,0.58,0.68
0.0104,3.4e-07,28,0.0003496,0.57,0.68
0.0147,9.8e-07,80,0.0006991,0.59,0.68
0.0107,4.0e-07,33,0.0004025,0.62,0.65
0.0115,4.0e-07,33,0.0003813,0.50,0.69
0.0129,6.7e-07,55,0.0005296,0.60,0.70
0.0140,9.1e-07,75,0.0006568,0.63,0.69
0.0128,6.5e-07,53,0.0005402,0.59,0.67
0.0112,3.9e-07,32,0.0003919,0.53,0.66
0.0108,3.7e-07,30,0.0003708,0.56,0.67
0.0106,3.5e-07,29,0.0003284,0.56,0.74
0.0115,3.8e-07,31,0.0003708,0.47,0.68
0.0104,3.3e-07,27,0.0003496,0.55,0.66
0.0137,8.3e-07,68,0.0006250,0.61,0.68
0.0126,6.2e-07,51,0.0005296,0.59,0.67
0.0119,4.0e-07,33,0.0004131,0.46,0.64
0.0099,2.9e-07,24,0.0003072,0.57,0.69
0.0108,3.7e-07,30,0.0003496,0.56,0.71
0.0151,1.1e-06,88,0.0007521,0.59,0.67
0.0102,3.0e-07,25,0.0003178,0.55,0.69
0.0104,3.2e-07,26,0.0003390,0.54,0.66
0.0110,3.8e-07,31,0.0003707,0.54,0.68
0.0156,8.9e-07,73,0.0006991,0.45,0.64
0.0144,9.5e-07,78,0.0006885,0.61,0.68
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0136,7.3e-07,60,0.0005826,0.55,0.67
0.0104,3.5e-07,29,0.0003496,0.59,0.69
0.0125,5.5e-07,45,0.0004555,0.53,0.71
0.0132,7.7e-07,63,0.0005720,0.64,0.71
0.0138,7.4e-07,61,0.0006038,0.54,0.66
0.0129,5.0e-07,41,0.0004449,0.45,0.68
0.0127,6.3e-07,52,0.0005191,0.59,0.69
0.0124,6.0e-07,49,0.0004873,0.60,0.70
0.0107,3.3e-07,27,0.0003602,0.52,0.64
0.0105,3.3e-07,27,0.0003496,0.55,0.66
0.0107,3.5e-07,29,0.0003390,0.55,0.71
0.0112,4.1e-07,34,0.0003919,0.57,0.69
0.0107,3.5e-07,29,0.0003602,0.55,0.67
0.0139,9.3e-07,76,0.0006674,0.65,0.69
0.0105,3.4e-07,28,0.0003602,0.56,0.66
0.0107,3.7e-07,30,0.0003496,0.57,0.71
0.0098,3.0e-07,25,0.0003284,0.63,0.67
0.0108,3.3e-07,27,0.0003390,0.50,0.68
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0136,7.4e-07,61,0.0005932,0.57,0.67
0.0095,2.0e-07,16,0.0002542,0.43,0.64
0.0120,4.6e-07,38,0.0004237,0.51,0.68
0.0101,2.9e-07,24,0.0003072,0.55,0.69
0.0107,3.5e-07,29,0.0003602,0.55,0.67
0.0098,2.9e-07,24,0.0003178,0.60,0.67
0.0105,2.9e-07,24,0.0003284,0.49,0.65
0.0104,3.3e-07,27,0.0003496,0.56,0.66
0.0101,3.0e-07,25,0.0003178,0.57,0.69
0.0132,7.2e-07,59,0.0005614,0.60,0.69
0.0101,3.0e-07,25,0.0003284,0.56,0.67
0.0149,8.8e-07,72,0.0006674,0.50,0.66
0.0103,3.3e-07,27,0.0003390,0.58,0.68
0.0103,3.3e-07,27,0.0003390,0.58,0.68
0.0123,5.2e-07,43,0.0004661,0.54,0.67
0.0110,4.3e-07,35,0.0004025,0.61,0.68
0.0137,8.3e-07,68,0.0006250,0.61,0.68
0.0104,3.3e-07,27,0.0003072,0.57,0.75
0.0098,3.2e-07,26,0.0003284,0.65,0.68
0.0126,4.9e-07,40,0.0004661,0.46,0.64
0.0105,3.5e-07,29,0.0003496,0.59,0.69
0.0102,3.0e-07,25,0.0003390,0.55,0.65
0.0128,6.5e-07,53,0.0005402,0.58,0.67
0.0142,7.1e-07,58,0.0005826,0.47,0.66
0.0098,3.3e-07,27,0.0003496,0.68,0.66
0.0108,3.7e-07,30,0.0003390,0.55,0.73
0.0133,7.2e-07,59,0.0005402,0.58,0.72
0.0135,8.3e-07,68,0.0005932,0.64,0.72
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0133,7.8e-07,64,0.0005932,0.63,0.69
0.0128,6.6e-07,54,0.0005297,0.60,0.69
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0135,8.0e-07,66,0.0005932,0.63,0.71
0.0098,2.9e-07,24,0.0003178,0.60,0.67
0.0147,1.0e-06,82,0.0006991,0.60,0.69
0.0138,8.2e-07,67,0.0006356,0.60,0.66
0.0141,8.9e-07,73,0.0006885,0.61,0.65
0.0098,2.9e-07,24,0.0002966,0.60,0.72
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0101,3.2e-07,26,0.0003390,0.58,0.66
0.0110,3.7e-07,30,0.0003496,0.53,0.71
0.0114,4.0e-07,33,0.0003919,0.52,0.67
0.0134,6.9e-07,57,0.0005720,0.55,0.66
0.0103,2.9e-07,24,0.0003284,0.51,0.65
0.0098,3.7e-07,30,0.0003708,0.75,0.67
0.0098,2.7e-07,22,0.0002966,0.55,0.68
0.0107,3.9e-07,32,0.0004025,0.61,0.64
0.0101,3.2e-07,26,0.0003390,0.58,0.66
0.0149,9.9e-07,81,0.0007309,0.58,0.66
0.0105,3.4e-07,28,0.0003602,0.56,0.66
0.0155,1.1e-06,89,0.0007733,0.55,0.66
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0117,6.0e-07,49,0.0004767,0.71,0.72
0.0098,3.5e-07,29,0.0003813,0.73,0.63
0.0103,3.0e-07,25,0.0003178,0.53,0.69
0.0114,4.6e-07,38,0.0004237,0.59,0.68
0.0147,9.5e-07,78,0.0006885,0.57,0.68
0.0098,2.8e-07,23,0.0002966,0.57,0.70
0.0105,3.3e-07,27,0.0003496,0.54,0.66
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0120,5.7e-07,47,0.0004873,0.63,0.68
0.0104,3.2e-07,26,0.0003178,0.54,0.71
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0098,2.8e-07,23,0.0003178,0.58,0.65
0.0153,1.1e-06,90,0.0007521,0.59,0.68
0.0132,7.4e-07,61,0.0005720,0.61,0.69
0.0098,3.9e-07,32,0.0003814,0.80,0.68
0.0098,3.7e-07,30,0.0003708,0.75,0.67
0.0101,2.9e-07,24,0.0003178,0.54,0.67
0.0098,2.9e-07,24,0.0003284,0.60,0.65
0.0109,3.7e-07,30,0.0003390,0.55,0.73
0.0135,8.0e-07,66,0.0006144,0.62,0.68
0.0132,6.7e-07,55,0.0005508,0.55,0.67
0.0098,2.8e-07,23,0.0003178,0.58,0.65
0.0095,2.4e-07,20,0.0002966,0.54,0.64
0.0193,1.2e-06,99,0.0008262,0.32,0.66
0.0103,3.4e-07,28,0.0003496,0.60,0.68
0.0104,3.2e-07,26,0.0003178,0.54,0.71
0.0105,3.5e-07,29,0.0003708,0.58,0.65
0.0117,5.0e-07,41,0.0004237,0.60,0.72
0.0104,3.3e-07,27,0.0003072,0.57,0.75
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0104,3.2e-07,26,0.0003178,0.55,0.71
0.0143,8.7e-07,71,0.0006356,0.57,0.69
0.0108,3.8e-07,31,0.0003919,0.57,0.64
0.0128,4.6e-07,38,0.0004555,0.42,0.64
0.0131,6.9e-07,57,0.0005826,0.59,0.65
0.0137,7.6e-07,62,0.0005720,0.56,0.70
0.0105,3.4e-07,28,0.0003496,0.56,0.68
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0107,3.7e-07,30,0.0003496,0.57,0.71
0.0102,3.0e-07,25,0.0003178,0.55,0.69
0.0128,6.8e-07,56,0.0005296,0.62,0.71
0.0105,3.0e-07,25,0.0003072,0.50,0.71
0.0116,4.0e-07,33,0.0003813,0.49,0.69
0.0127,6.5e-07,53,0.0005191,0.60,0.70
0.0126,5.5e-07,45,0.0004873,0.52,0.67
0.0098,3.2e-07,26,0.0003390,0.65,0.66
0.0156,9.1e-07,75,0.0006991,0.46,0.65
0.0107,3.7e-07,30,0.0003708,0.57,0.67
0.0105,3.8e-07,31,0.0003708,0.62,0.68
0.0105,3.4e-07,28,0.0003284,0.57,0.72
0.0109,4.1e-07,34,0.0003813,0.62,0.70
0.0098,3.0e-07,25,0.0003284,0.63,0.67
0.0114,4.0e-07,33,0.0003602,0.52,0.73
0.0135,7.8e-07,64,0.0006038,0.61,0.68
0.0105,3.5e-07,29,0.0003602,0.58,0.67
0.0139,9.3e-07,76,0.0006674,0.65,0.69
0.0121,3.8e-07,31,0.0003919,0.41,0.64
0.0104,3.4e-07,28,0.0003496,0.58,0.68
0.0117,4.6e-07,38,0.0004343,0.55,0.67
0.0107,3.5e-07,29,0.0003496,0.55,0.69
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0146,9.4e-07,77,0.0007097,0.57,0.65
0.0153,1.2e-06,96,0.0007733,0.63,0.69
0.0100,2.7e-07,22,0.0003072,0.51,0.65
0.0111,4.3e-07,35,0.0004131,0.60,0.66
0.0145,9.3e-07,76,0.0007097,0.59,0.65
0.0096,2.4e-07,20,0.0002754,0.52,0.69
0.0108,3.8e-07,31,0.0003708,0.57,0.68
0.0143,9.9e-07,81,0.0006885,0.65,0.70
0.0105,3.4e-07,28,0.0003284,0.57,0.72
0.0182,1.6e-06,129,0.0010063,0.50,0.65
0.0103,3.4e-07,28,0.0003496,0.60,0.68
0.0101,2.9e-07,24,0.0003072,0.55,0.69
0.0098,2.8e-07,23,0.0002966,0.57,0.70
0.0105,3.2e-07,26,0.0003178,0.52,0.71
0.0102,3.0e-07,25,0.0003284,0.55,0.67
0.0107,3.5e-07,29,0.0003390,0.55,0.71
0.0108,3.4e-07,28,0.0003496,0.52,0.68
0.0111,4.1e-07,34,0.0003919,0.58,0.69
0.0128,6.9e-07,57,0.0005296,0.63,0.72
0.0110,3.9e-07,32,0.0003813,0.55,0.68
0.0107,3.5e-07,29,0.0003708,0.55,0.65
0.0098,3.0e-07,25,0.0003390,0.63,0.65
0.0131,6.0e-07,49,0.0005191,0.51,0.66
0.0134,7.4e-07,61,0.0005826,0.59,0.68
0.0149,1.1e-06,87,0.0007415,0.61,0.68
0.0146,9.1e-07,75,0.0007097,0.56,0.64
0.0102,3.0e-07,25,0.0003178,0.55,0.69
0.0126,6.0e-07,49,0.0005191,0.57,0.66
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0127,6.6e-07,54,0.0005191,0.61,0.71
0.0149,9.8e-07,80,0.0007097,0.56,0.67
0.0123,6.2e-07,51,0.0005191,0.64,0.68
0.0104,3.4e-07,28,0.0003072,0.59,0.77
0.0103,3.0e-07,25,0.0003178,0.53,0.69
0.0110,3.5e-07,29,0.0003496,0.51,0.69
0.0110,3.9e-07,32,0.0003708,0.56,0.70
0.0095,3.0e-07,25,0.0002860,0.68,0.77
0.0101,2.9e-07,24,0.0003284,0.54,0.65
0.0137,7.8e-07,64,0.0006250,0.58,0.66
0.0108,3.8e-07,31,0.0003708,0.57,0.68
0.0102,3.0e-07,25,0.0003072,0.55,0.71
0.0128,7.4e-07,61,0.0005508,0.67,0.72
0.0098,3.0e-07,25,0.0003284,0.63,0.67
0.0104,3.3e-07,27,0.0003072,0.57,0.75
0.0124,4.6e-07,38,0.0004661,0.46,0.62
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0104,3.3e-07,27,0.0003496,0.56,0.66
0.0148,9.5e-07,78,0.0006991,0.55,0.67
0.0098,2.9e-07,24,0.0003178,0.60,0.67
0.0185,1.4e-06,112,0.0009216,0.41,0.65
0.0104,3.4e-07,28,0.0003390,0.58,0.70
0.0110,3.8e-07,31,0.0003496,0.55,0.72
0.0162,1.1e-06,92,0.0007733,0.50,0.68
0.0104,3.4e-07,28,0.0003496,0.57,0.68
0.0101,3.2e-07,26,0.0003072,0.58,0.73
0.0132,6.6e-07,54,0.0005508,0.55,0.66
0.0104,3.4e-07,28,0.0003496,0.57,0.68
0.0101,2.9e-07,24,0.0003284,0.54,0.65
0.0104,3.2e-07,26,0.0003284,0.54,0.68
0.0103,3.0e-07,25,0.0003178,0.53,0.69
0.0121,6.2e-07,51,0.0005085,0.67,0.69
0.0136,8.7e-07,71,0.0006462,0.66,0.68
0.0124,5.7e-07,47,0.0004979,0.57,0.67
0.0105,3.4e-07,28,0.0003496,0.57,0.68
0.0146,8.7e-07,71,0.0006779,0.53,0.65
0.0102,3.0e-07,25,0.0003390,0.55,0.65
0.0128,6.3e-07,52,0.0005085,0.57,0.70
0.0108,3.4e-07,28,0.0003178,0.52,0.74
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0135,7.6e-07,62,0.0005720,0.59,0.70
0.0131,7.7e-07,63,0.0005932,0.65,0.68
0.0098,3.2e-07,26,0.0003284,0.65,0.68
0.0105,3.4e-07,28,0.0003284,0.57,0.72
0.0105,3.4e-07,28,0.0003496,0.57,0.68
0.0108,3.5e-07,29,0.0003496,0.53,0.69
0.0150,9.3e-07,76,0.0006780,0.53,0.68
0.0157,1.2e-06,99,0.0008051,0.60,0.68
0.0098,2.4e-07,20,0.0002754,0.50,0.69
0.0135,8.4e-07,69,0.0006462,0.66,0.67
0.0107,3.5e-07,29,0.0003813,0.55,0.63
0.0104,3.3e-07,27,0.0003390,0.56,0.68
0.0102,2.8e-07,23,0.0002966,0.51,0.70
0.0149,1.1e-06,91,0.0007733,0.64,0.67
0.0138,8.8e-07,72,0.0006568,0.63,0.67
0.0098,2.9e-07,24,0.0003178,0.60,0.67
0.0134,8.3e-07,68,0.0006144,0.65,0.69
0.0097,2.7e-07,22,0.0002860,0.57,0.70
0.0143,1.0e-06,82,0.0007097,0.66,0.68
0.0102,3.0e-07,25,0.0003284,0.55,0.67
0.0101,3.0e-07,25,0.0003390,0.56,0.65
0.0130,6.9e-07,57,0.0005614,0.60,0.68
0.0098,2.6e-07,21,0.0003072,0.53,0.63
0.0150,1.1e-06,89,0.0007521,0.61,0.68
0.0143,9.0e-07,74,0.0006885,0.59,0.66
0.0104,3.3e-07,27,0.0003496,0.55,0.66
0.0138,8.7e-07,71,0.0006356,0.62,0.69
0.0098,2.7e-07,22,0.0002966,0.55,0.68
0.0098,2.6e-07,21,0.0002860,0.53,0.68
0.0128,7.2e-07,59,0.0005402,0.65,0.72
0.0115,3.8e-07,31,0.0003813,0.47,0.66
0.0131,7.4e-07,61,0.0005720,0.64,0.69
0.0113,3.8e-07,31,0.0003708,0.50,0.68
0.0105,3.2e-07,26,0.0003284,0.52,0.68
0.0126,6.2e-07,51,0.0005085,0.59,0.69
0.0098,2.8e-07,23,0.0002966,0.58,0.70
0.0161,7.1e-07,58,0.0006038,0.32,0.64
0.0098,3.4e-07,28,0.0003708,0.70,0.64
0.0098,3.5e-07,29,0.0003708,0.73,0.65
0.0107,3.7e-07,30,0.0003602,0.57,0.69
0.0133,7.8e-07,64,0.0006038,0.63,0.68
0.0097,2.7e-07,22,0.0002860,0.57,0.70
0.0186,1.6e-06,133,0.0010169,0.48,0.66
0.0105,3.5e-07,29,0.0003496,0.58,0.69
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0166,1.1e-06,90,0.0007733,0.46,0.67
0.0171,9.9e-07,81,0.0007309,0.38,0.66
0.0106,3.3e-07,27,0.0003178,0.53,0.73
0.0103,3.0e-07,25,0.0003178,0.53,0.69
0.0104,3.4e-07,28,0.0003072,0.59,0.77
0.0104,3.3e-07,27,0.0003072,0.57,0.75
0.0098,2.6e-07,21,0.0003072,0.53,0.63
0.0121,6.1e-07,50,0.0005085,0.66,0.68
0.0096,2.0e-07,16,0.0002330,0.42,0.70
0.0155,1.2e-06,98,0.0008368,0.61,0.65
0.0107,4.0e-07,33,0.0003919,0.63,0.67
0.0129,6.2e-07,51,0.0005614,0.55,0.63
0.0143,9.3e-07,76,0.0006780,0.60,0.68
0.0107,3.7e-07,30,0.0003496,0.57,0.71
0.0098,2.9e-07,24,0.0003072,0.60,0.69
0.0163,1.0e-06,82,0.0007203,0.44,0.67
0.0138,8.8e-07,72,0.0006462,0.63,0.69
0.0099,2.9e-07,24,0.0003072,0.57,0.69
0.0165,1.2e-06,102,0.0008474,0.53,0.66
0.0105,3.3e-07,27,0.0003284,0.55,0.70
0.0100,3.0e-07,25,0.0003072,0.58,0.71
0.0117,5.7e-07,47,0.0004767,0.68,0.70
0.0133,6.7e-07,55,0.0005402,0.54,0.69
0.0138,8.2e-07,67,0.0006250,0.59,0.68
0.0136,7.2e-07,59,0.0005826,0.54,0.67
0.0102,3.2e-07,26,0.0003390,0.57,0.66
0.0104,3.3e-07,27,0.0003284,0.57,0.70
0.0130,7.6e-07,62,0.0005826,0.65,0.69
0.0161,1.3e-06,107,0.0008792,0.60,0.66
0.0134,5.9e-07,48,0.0005191,0.46,0.65
0.0104,3.3e-07,27,0.0003284,0.57,0.70
0.0104,3.2e-07,26,0.0003390,0.54,0.66
0.0134,8.0e-07,66,0.0006250,0.64,0.67
0.0139,7.1e-07,58,0.0005614,0.50,0.68
0.0126,6.2e-07,51,0.0005085,0.59,0.69
0.0098,2.4e-07,20,0.0002754,0.50,0.69
0.0103,3.3e-07,27,0.0003390,0.58,0.68
0.0105,3.2e-07,26,0.0003178,0.52,0.71
0.0181,1.5e-06,121,0.0009428,0.47,0.66
0.0106,3.4e-07,28,0.0003390,0.55,0.70
0.0098,3.0e-07,25,0.0003178,0.63,0.69
0.0106,3.4e-07,28,0.0003284,0.55,0.72
0.0118,4.1e-07,34,0.0003919,0.49,0.69
0.0117,6.1e-07,50,0.0004767,0.72,0.73
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0105,3.4e-07,28,0.0003708,0.56,0.64
0.0098,2.9e-07,24,0.0003072,0.60,0.69
0.0113,4.1e-07,34,0.0003919,0.55,0.69
0.0099,2.9e-07,24,0.0003072,0.57,0.69
0.0110,3.8e-07,31,0.0003919,0.54,0.64
0.0098,3.3e-07,27,0.0003390,0.68,0.68
0.0101,2.8e-07,23,0.0003072,0.51,0.67
0.0098,2.7e-07,22,0.0003072,0.55,0.65
0.0098,3.0e-07,25,0.0003284,0.63,0.67
0.0100,2.9e-07,24,0.0002966,0.56,0.72
0.0142,8.9e-07,73,0.0006568,0.60,0.68
0.0168,1.3e-06,110,0.0009110,0.54,0.65
0.0100,2.7e-07,22,0.0002860,0.51,0.70
0.0098,2.6e-07,21,0.0003072,0.53,0.63
0.0137,8.3e-07,68,0.0006356,0.62,0.67
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0105,3.4e-07,28,0.0003284,0.57,0.72
0.0143,9.5e-07,78,0.0006780,0.63,0.69
0.0152,1.1e-06,88,0.0007839,0.59,0.65
0.0140,8.0e-07,66,0.0006144,0.56,0.68
0.0108,3.9e-07,32,0.0004025,0.59,0.64
0.0113,4.0e-07,33,0.0003708,0.53,0.71
0.0107,3.4e-07,28,0.0003390,0.53,0.70
0.0100,2.8e-07,23,0.0002966,0.53,0.70
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0132,8.2e-07,67,0.0006144,0.67,0.69
0.0100,3.0e-07,25,0.0003072,0.58,0.71
0.0122,5.4e-07,44,0.0004661,0.57,0.68
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0100,3.0e-07,25,0.0003072,0.58,0.71
0.0108,3.7e-07,30,0.0003708,0.56,0.67
0.0168,1.1e-06,94,0.0007945,0.47,0.67
0.0103,3.2e-07,26,0.0003390,0.56,0.66
0.0104,3.2e-07,26,0.0003178,0.55,0.71
0.0101,3.2e-07,26,0.0003072,0.58,0.73
0.0107,3.7e-07,30,0.0003813,0.57,0.65
0.0126,4.0e-07,33,0.0004343,0.38,0.61
0.0143,8.5e-07,70,0.0006568,0.56,0.66
0.0097,2.7e-07,22,0.0002860,0.57,0.70
0.0158,1.1e-06,91,0.0007733,0.54,0.67
0.0128,6.8e-07,56,0.0005296,0.62,0.71
0.0107,3.5e-07,29,0.0003602,0.55,0.67
0.0129,6.3e-07,52,0.0005402,0.56,0.66
0.0099,2.8e-07,23,0.0002966,0.55,0.70
0.0141,8.0e-07,66,0.0006356,0.55,0.66
0.0100,2.9e-07,24,0.0003178,0.55,0.67
0.0128,6.6e-07,54,0.0005191,0.59,0.70
0.0132,8.5e-07,70,0.0006568,0.71,0.66
0.0115,4.4e-07,36,0.0003919,0.55,0.71
0.0147,8.3e-07,68,0.0006462,0.49,0.66
0.0126,6.5e-07,53,0.0005296,0.61,0.68
0.0104,3.3e-07,27,0.0003072,0.57,0.75
0.0128,7.1e-07,58,0.0005508,0.64,0.70
0.0143,9.0e-07,74,0.0006780,0.59,0.67
0.0167,1.3e-06,109,0.0008898,0.55,0.66
0.0151,9.4e-07,77,0.0006780,0.52,0.68
0.0134,7.7e-07,63,0.0005826,0.61,0.70
0.0101,3.0e-07,25,0.0003390,0.56,0.65
0.0100,2.7e-07,22,0.0003072,0.51,0.65
0.0098,2.7e-07,22,0.0002966,0.55,0.68
0.0117,6.2e-07,51,0.0004979,0.73,0.71
0.0107,3.0e-07,25,0.0003284,0.48,0.67
0.0125,6.2e-07,51,0.0004979,0.61,0.71
0.0104,3.2e-07,26,0.0003178,0.55,0.71
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0101,3.2e-07,26,0.0003072,0.58,0.73
0.0104,2.9e-07,24,0.0003390,0.49,0.63
0.0104,3.4e-07,28,0.0003072,0.59,0.77
0.0143,9.9e-07,81,0.0006885,0.65,0.70
0.0102,3.0e-07,25,0.0003284,0.55,0.67
0.0095,3.0e-07,25,0.0002860,0.68,0.77
0.0101,2.9e-07,24,0.0003072,0.54,0.69
0.0100,2.8e-07,23,0.0002860,0.54,0.72
0.0102,3.2e-07,26,0.0003284,0.57,0.68
0.0098,2.7e-07,22,0.0003072,0.55,0.65
0.0117,3.7e-07,30,0.0003708,0.43,0.67
0.0138,8.8e-07,72,0.0006462,0.63,0.69
0.0134,7.7e-07,63,0.0006038,0.61,0.67
0.0137,7.6e-07,62,0.0006250,0.56,0.64
0.0170,1.3e-06,104,0.0008580,0.50,0.66
0.0106,3.2e-07,26,0.0003284,0.50,0.68
0.0108,3.3e-07,27,0.0003602,0.50,0.64
0.0096,2.6e-07,21,0.0002754,0.56,0.71
0.0144,8.7e-07,71,0.0006674,0.55,0.66
0.0128,6.5e-07,53,0.0005297,0.59,0.68
0.0110,3.5e-07,29,0.0003602,0.51,0.67
0.0148,1.0e-06,82,0.0007203,0.59,0.67
0.0098,2.7e-07,22,0.0002966,0.55,0.68
0.0109,3.8e-07,31,0.0003708,0.55,0.68
0.0133,7.7e-07,63,0.0006038,0.62,0.67
0.0127,6.5e-07,53,0.0005191,0.60,0.70
0.0105,3.3e-07,27,0.0003496,0.54,0.66
0.0106,3.2e-07,26,0.0003178,0.51,0.71
0.0098,3.0e-07,25,0.0003390,0.63,0.65
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0161,1.0e-06,86,0.0007521,0.48,0.66
0.0099,2.8e-07,23,0.0002966,0.55,0.70
0.0143,1.0e-06,86,0.0007203,0.68,0.69
0.0103,3.2e-07,26,0.0003284,0.56,0.68
0.0128,6.8e-07,56,0.0005297,0.62,0.71
0.0106,3.2e-07,26,0.0003390,0.51,0.66
0.0106,3.5e-07,29,0.0003284,0.56,0.74
0.0098,2.9e-07,24,0.0003072,0.60,0.69
0.0107,3.2e-07,26,0.0003178,0.50,0.71
0.0104,3.3e-07,27,0.0003390,0.56,0.68
0.0137,7.6e-07,62,0.0005932,0.56,0.68
0.0098,2.9e-07,24,0.0002966,0.60,0.72
0.0100,2.8e-07,23,0.0002966,0.54,0.70
0.0100,3.0e-07,25,0.0003072,0.58,0.71
0.0151,9.9e-07,81,0.0007309,0.55,0.66
0.0096,2.3e-07,19,0.0002754,0.50,0.66
0.0108,3.5e-07,29,0.0003390,0.53,0.71
0.0102,2.9e-07,24,0.0003178,0.52,0.67
0.0098,2.8e-07,23,0.0003178,0.58,0.65
0.0098,2.8e-07,23,0.0002966,0.58,0.70
0.0097,2.3e-07,19,0.0002860,0.48,0.64
0.0146,9.0e-07,74,0.0006674,0.56,0.68
0.0101,3.0e-07,25,0.0003284,0.56,0.67
0.0101,2.9e-07,24,0.0003178,0.55,0.67
0.0103,2.9e-07,24,0.0003072,0.51,0.69
0.0102,3.3e-07,27,0.0003284,0.59,0.70
0.0107,3.3e-07,27,0.0003602,0.52,0.64
0.0103,2.9e-07,24,0.0003072,0.51,0.69
0.0136,8.2e-07,67,0.0005932,0.62,0.71
0.0132,7.1e-07,58,0.0005614,0.59,0.68
0.0098,2.9e-07,24,0.0003178,0.60,0.67
0.0107,3.2e-07,26,0.0003390,0.50,0.66
0.0098,2.7e-07,22,0.0002860,0.55,0.70
0.0188,1.6e-06,134,0.0010487,0.47,0.64
0.0123,6.0e-07,49,0.0004979,0.62,0.69
0.0176,1.3e-06,107,0.0008898,0.46,0.65
0.0138,9.4e-07,77,0.0006780,0.68,0.68
0.0098,2.6e-07,21,0.0002860,0.53,0.68
0.0146,5.5e-07,45,0.0004873,0.34,0.67
0.0100,2.9e-07,24,0.0002966,0.56,0.72
