Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0500,0.0999,1.4e-04,8223,0.0230588,0.26,0.56
0.0255,0.0511,5.2e-05,3111,0.0100833,0.74,0.67
0.0325,0.0651,7.3e-05,4372,0.0132360,0.50,0.64
0.0273,0.0546,6.0e-05,3634,0.0113470,0.71,0.66
0.0453,0.0906,1.3e-04,7584,0.0212219,0.32,0.57
0.0364,0.0727,7.9e-05,4722,0.0139655,0.39,0.63
0.0400,0.0799,9.0e-05,5436,0.0166101,0.34,0.59
0.0270,0.0540,5.9e-05,3522,0.0110083,0.71,0.66
0.0494,0.0988,1.0e-04,6238,0.0179650,0.21,0.59
0.0248,0.0496,5.1e-05,3057,0.0099140,0.79,0.67
0.0307,0.0615,6.2e-05,3752,0.0121156,0.51,0.63
0.0288,0.0577,5.6e-05,3382,0.0107347,0.56,0.66
0.0330,0.0660,7.1e-05,4297,0.0131969,0.47,0.63
0.0249,0.0497,5.0e-05,3037,0.0099270,0.79,0.67
0.0423,0.0847,1.1e-04,6513,0.0191375,0.34,0.57
0.0280,0.0560,5.6e-05,3363,0.0107608,0.61,0.66
0.0254,0.0508,4.9e-05,2939,0.0096143,0.71,0.67
0.0294,0.0589,5.2e-05,3100,0.0103308,0.48,0.65
0.0320,0.0641,6.2e-05,3708,0.0119332,0.45,0.63
0.0266,0.0533,5.6e-05,3346,0.0105393,0.70,0.67
0.0253,0.0505,4.6e-05,2761,0.0092887,0.68,0.67
0.0428,0.0857,9.7e-05,5807,0.0171442,0.29,0.59
0.0383,0.0766,9.0e-05,5406,0.0159848,0.38,0.61
0.0247,0.0494,5.0e-05,2994,0.0098228,0.79,0.67
0.0260,0.0521,5.2e-05,3146,0.0103048,0.71,0.66
0.0276,0.0552,5.1e-05,3055,0.0098358,0.58,0.67
0.0292,0.0583,5.8e-05,3486,0.0112167,0.56,0.65
0.0257,0.0513,5.2e-05,3133,0.0101485,0.74,0.66
0.0371,0.0741,7.3e-05,4375,0.0136659,0.34,0.62
0.0245,0.0491,4.9e-05,2968,0.0097446,0.80,0.67
0.0264,0.0528,4.8e-05,2876,0.0095883,0.62,0.66
0.0252,0.0504,5.2e-05,3120,0.0100052,0.77,0.67
0.0279,0.0557,5.3e-05,3204,0.0103569,0.59,0.66
0.0367,0.0735,7.9e-05,4737,0.0158285,0.38,0.56
0.0291,0.0582,5.6e-05,3370,0.0106826,0.54,0.66
0.0276,0.0552,5.3e-05,3201,0.0103830,0.60,0.66
0.0265,0.0530,4.7e-05,2841,0.0094189,0.61,0.67
0.0258,0.0516,5.1e-05,3076,0.0100703,0.71,0.66
0.0257,0.0513,5.1e-05,3075,0.0099921,0.72,0.67
0.0422,0.0844,8.6e-05,5144,0.0167013,0.27,0.56
0.0348,0.0697,6.6e-05,3980,0.0127540,0.37,0.62
0.0379,0.0758,7.8e-05,4704,0.0159978,0.34,0.55
0.0277,0.0554,5.6e-05,3398,0.0107608,0.63,0.66
0.0349,0.0699,6.8e-05,4098,0.0126888,0.38,0.64
0.0253,0.0505,5.1e-05,3055,0.0100442,0.75,0.66
0.0258,0.0515,5.2e-05,3134,0.0102396,0.73,0.66
0.0342,0.0683,6.2e-05,3723,0.0118030,0.37,0.64
0.0406,0.0812,8.6e-05,5194,0.0187076,0.31,0.51
0.0342,0.0684,6.6e-05,3976,0.0126367,0.40,0.63
0.0468,0.0936,1.1e-04,6386,0.0216127,0.25,0.50
0.0323,0.0645,6.3e-05,3760,0.0119984,0.44,0.63
0.0242,0.0484,4.8e-05,2864,0.0095362,0.80,0.67
0.0232,0.0465,4.2e-05,2541,0.0086894,0.80,0.68
0.0275,0.0549,4.6e-05,2770,0.0092496,0.53,0.67
0.0336,0.0672,6.7e-05,4024,0.0129624,0.42,0.61
0.0526,0.1053,1.1e-04,6742,0.0221468,0.18,0.51
0.0276,0.0551,5.0e-05,3006,0.0097055,0.57,0.68
0.0253,0.0506,4.3e-05,2610,0.0089109,0.64,0.67
0.0327,0.0654,6.6e-05,3995,0.0124022,0.45,0.64
0.0252,0.0504,4.7e-05,2839,0.0095101,0.71,0.66
0.0235,0.0469,3.9e-05,2375,0.0082986,0.73,0.68
0.0481,0.0961,9.9e-05,5976,0.0185773,0.21,0.56
