Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0138,0.0277,5.5e-06,331,0.0023059,0.50,0.65
0.0129,0.0257,5.5e-06,331,0.0022929,0.62,0.66
0.0123,0.0245,5.5e-06,331,0.0022407,0.71,0.67
0.0123,0.0246,5.5e-06,331,0.0022798,0.71,0.66
0.0131,0.0261,5.5e-06,331,0.0023059,0.59,0.65
0.0114,0.0229,3.8e-06,227,0.0017066,0.60,0.69
0.0110,0.0221,3.8e-06,227,0.0017066,0.67,0.69
0.0132,0.0265,5.2e-06,312,0.0021886,0.53,0.66
0.0149,0.0299,7.1e-06,426,0.0027618,0.51,0.65
0.0257,0.0514,1.3e-05,806,0.0050156,0.19,0.54
0.0156,0.0313,6.7e-06,404,0.0026185,0.42,0.66
0.0152,0.0305,6.7e-06,404,0.0026967,0.45,0.64
0.0125,0.0250,4.6e-06,277,0.0019672,0.56,0.68
0.0117,0.0233,4.6e-06,277,0.0019541,0.70,0.68
0.0117,0.0233,4.6e-06,277,0.0020062,0.69,0.67
0.0117,0.0235,4.6e-06,277,0.0019932,0.68,0.67
0.0115,0.0231,4.6e-06,277,0.0020193,0.72,0.66
0.0117,0.0233,4.6e-06,277,0.0020062,0.70,0.67
0.0116,0.0232,4.6e-06,277,0.0020193,0.71,0.66
0.0118,0.0237,4.6e-06,277,0.0019541,0.66,0.68
0.0121,0.0241,4.6e-06,277,0.0019932,0.63,0.67
0.0118,0.0236,4.6e-06,277,0.0020193,0.67,0.66
0.0115,0.0230,4.6e-06,277,0.0020323,0.72,0.66
0.0118,0.0236,4.6e-06,277,0.0019281,0.67,0.69
0.0115,0.0231,4.6e-06,277,0.0019932,0.72,0.67
0.0116,0.0233,4.6e-06,277,0.0019932,0.70,0.67
0.0115,0.0230,4.6e-06,277,0.0019932,0.72,0.67
0.0116,0.0232,4.6e-06,277,0.0019541,0.70,0.68
0.0123,0.0245,4.3e-06,259,0.0018499,0.56,0.69
0.0119,0.0238,4.3e-06,259,0.0018629,0.61,0.69
0.0183,0.0367,8.4e-06,503,0.0032048,0.32,0.62
0.0136,0.0273,6.1e-06,367,0.0024622,0.58,0.66
0.0134,0.0268,6.1e-06,367,0.0024883,0.60,0.65
0.0160,0.0320,7.7e-06,464,0.0029182,0.45,0.65
0.0159,0.0318,7.4e-06,446,0.0028921,0.44,0.64
0.0125,0.0250,5.5e-06,330,0.0022668,0.67,0.66
0.0123,0.0245,5.5e-06,330,0.0022407,0.71,0.67
0.0123,0.0246,5.5e-06,330,0.0022407,0.70,0.67
0.0137,0.0275,5.5e-06,330,0.0023189,0.50,0.65
0.0125,0.0250,5.5e-06,330,0.0022407,0.67,0.67
0.0166,0.0333,7.1e-06,425,0.0028791,0.37,0.62
0.0161,0.0321,7.1e-06,425,0.0028009,0.41,0.64
0.0127,0.0254,5.2e-06,311,0.0021626,0.60,0.67
0.0119,0.0239,5.2e-06,311,0.0021235,0.72,0.68
0.0119,0.0238,5.2e-06,311,0.0021626,0.73,0.67
0.0122,0.0245,5.2e-06,311,0.0021756,0.67,0.66
0.0115,0.0229,3.8e-06,226,0.0016936,0.60,0.69
0.0179,0.0358,7.7e-06,463,0.0030875,0.32,0.61
0.0118,0.0235,4.6e-06,276,0.0019802,0.67,0.67
0.0118,0.0236,4.6e-06,276,0.0019932,0.67,0.67
0.0117,0.0233,4.6e-06,276,0.0019672,0.69,0.68
0.0119,0.0239,4.6e-06,276,0.0019932,0.64,0.67
0.0121,0.0242,4.6e-06,276,0.0019672,0.62,0.68
0.0115,0.0231,4.6e-06,276,0.0020062,0.71,0.67
0.0128,0.0256,4.6e-06,276,0.0020062,0.53,0.67
0.0116,0.0232,4.6e-06,276,0.0020193,0.70,0.66
0.0117,0.0234,4.6e-06,276,0.0020062,0.68,0.67
0.0116,0.0231,4.6e-06,276,0.0019672,0.71,0.68
0.0114,0.0228,4.6e-06,276,0.0019932,0.74,0.67
0.0122,0.0244,4.6e-06,276,0.0019672,0.61,0.68
0.0115,0.0230,4.6e-06,276,0.0019932,0.72,0.67
0.0119,0.0239,4.6e-06,276,0.0019932,0.64,0.67
0.0189,0.0378,8.4e-06,507,0.0034002,0.30,0.59
0.0166,0.0331,7.0e-06,424,0.0028270,0.37,0.63
0.0128,0.0257,5.5e-06,329,0.0023059,0.62,0.65
0.0122,0.0244,5.5e-06,329,0.0022668,0.71,0.66
0.0136,0.0271,5.5e-06,329,0.0022929,0.52,0.65
0.0147,0.0293,5.5e-06,329,0.0023971,0.41,0.63
0.0122,0.0244,5.5e-06,329,0.0022538,0.72,0.67
0.0122,0.0245,5.5e-06,329,0.0022798,0.71,0.66
0.0138,0.0276,5.5e-06,329,0.0023059,0.50,0.65
0.0124,0.0247,5.5e-06,329,0.0022277,0.69,0.67
0.0123,0.0245,5.5e-06,329,0.0022538,0.71,0.67
0.0156,0.0313,6.7e-06,402,0.0026576,0.42,0.65
0.0128,0.0256,5.2e-06,310,0.0021495,0.59,0.67
0.0122,0.0243,5.2e-06,310,0.0021235,0.68,0.68
0.0122,0.0244,5.2e-06,310,0.0021105,0.68,0.68
0.0132,0.0264,5.2e-06,310,0.0021756,0.53,0.66
0.0122,0.0245,5.2e-06,310,0.0021626,0.67,0.67
0.0133,0.0266,5.2e-06,310,0.0022017,0.52,0.66
0.0127,0.0253,5.2e-06,310,0.0021105,0.61,0.68
0.0124,0.0248,5.2e-06,310,0.0021626,0.65,0.67
0.0146,0.0291,6.4e-06,385,0.0025273,0.49,0.66
0.0162,0.0324,6.4e-06,385,0.0026576,0.36,0.63
0.0151,0.0301,6.4e-06,385,0.0026055,0.45,0.64
0.0138,0.0276,6.1e-06,365,0.0024101,0.55,0.67
0.0148,0.0297,6.1e-06,365,0.0025013,0.44,0.64
0.0135,0.0270,6.1e-06,365,0.0024231,0.59,0.66
0.0133,0.0267,6.1e-06,365,0.0024492,0.61,0.66
0.0135,0.0270,6.1e-06,365,0.0024492,0.59,0.66
0.0129,0.0258,5.7e-06,344,0.0022929,0.64,0.67
0.0174,0.0347,8.0e-06,484,0.0031657,0.37,0.61
0.0162,0.0324,7.0e-06,423,0.0027749,0.40,0.64
0.0117,0.0233,4.6e-06,275,0.0019541,0.69,0.68
0.0134,0.0269,4.6e-06,275,0.0019672,0.45,0.68
0.0115,0.0230,4.6e-06,275,0.0020323,0.72,0.66
0.0116,0.0232,4.6e-06,275,0.0019281,0.70,0.69
0.0119,0.0239,4.6e-06,275,0.0019932,0.64,0.67
0.0113,0.0226,4.6e-06,275,0.0019802,0.76,0.67
0.0131,0.0262,4.6e-06,275,0.0019672,0.48,0.68
0.0119,0.0239,4.6e-06,275,0.0019802,0.64,0.67
0.0115,0.0229,4.6e-06,275,0.0019541,0.72,0.68
0.0113,0.0226,3.7e-06,225,0.0016806,0.62,0.69
0.0106,0.0212,3.7e-06,225,0.0016936,0.75,0.69
0.0112,0.0223,3.7e-06,225,0.0016936,0.64,0.69
0.0106,0.0212,3.7e-06,225,0.0016936,0.75,0.69
0.0125,0.0249,5.5e-06,328,0.0022407,0.67,0.67
0.0124,0.0249,5.5e-06,328,0.0022277,0.68,0.67
0.0124,0.0249,5.5e-06,328,0.0022668,0.68,0.66
0.0122,0.0244,5.5e-06,328,0.0022538,0.72,0.66
0.0126,0.0251,5.5e-06,328,0.0022668,0.66,0.66
0.0124,0.0248,5.5e-06,328,0.0022538,0.68,0.66
0.0132,0.0263,5.5e-06,328,0.0022929,0.57,0.65
0.0136,0.0271,5.5e-06,328,0.0022928,0.52,0.65
0.0252,0.0504,1.2e-05,727,0.0046118,0.18,0.55
0.0118,0.0235,4.3e-06,257,0.0018369,0.63,0.69
0.0130,0.0261,5.1e-06,309,0.0021365,0.55,0.67
0.0121,0.0241,5.1e-06,309,0.0021365,0.70,0.67
0.0127,0.0254,5.1e-06,309,0.0021626,0.60,0.67
0.0122,0.0244,5.1e-06,309,0.0021626,0.68,0.67
0.0124,0.0248,5.1e-06,309,0.0021495,0.64,0.67
0.0124,0.0247,5.1e-06,309,0.0021626,0.65,0.67
0.0132,0.0264,5.1e-06,309,0.0021365,0.53,0.67
0.0126,0.0253,5.1e-06,309,0.0021756,0.61,0.66
0.0174,0.0349,8.0e-06,483,0.0031787,0.36,0.61
0.0151,0.0302,6.1e-06,364,0.0024752,0.42,0.65
0.0130,0.0260,6.1e-06,364,0.0023971,0.66,0.67
0.0141,0.0283,6.1e-06,364,0.0023971,0.51,0.67
0.0165,0.0329,7.0e-06,422,0.0028791,0.38,0.62
0.0152,0.0304,7.0e-06,422,0.0027488,0.48,0.64
0.0245,0.0489,1.5e-05,900,0.0051068,0.24,0.57
0.0201,0.0401,9.4e-06,563,0.0035044,0.28,0.61
0.0141,0.0282,5.4e-06,327,0.0022798,0.46,0.66
0.0157,0.0315,7.2e-06,436,0.0027879,0.44,0.65
0.0124,0.0247,5.4e-06,327,0.0022798,0.69,0.66
0.0124,0.0249,5.4e-06,327,0.0022407,0.67,0.67
0.0123,0.0245,5.4e-06,327,0.0022538,0.71,0.66
0.0131,0.0262,5.4e-06,327,0.0022407,0.58,0.67
0.0118,0.0236,4.6e-06,274,0.0020062,0.66,0.66
0.0116,0.0232,4.6e-06,274,0.0020193,0.69,0.66
0.0113,0.0227,4.6e-06,274,0.0019932,0.75,0.67
0.0114,0.0228,4.6e-06,274,0.0019672,0.73,0.68
0.0121,0.0242,4.6e-06,274,0.0020062,0.61,0.66
0.0114,0.0229,4.6e-06,274,0.0019802,0.73,0.67
0.0118,0.0237,4.6e-06,274,0.0019802,0.66,0.67
0.0118,0.0235,4.6e-06,274,0.0019802,0.67,0.67
0.0116,0.0232,4.6e-06,274,0.0020062,0.70,0.66
0.0119,0.0239,4.6e-06,274,0.0019802,0.64,0.67
0.0130,0.0259,6.0e-06,363,0.0024101,0.66,0.67
0.0119,0.0238,5.1e-06,308,0.0021365,0.73,0.67
0.0130,0.0260,5.1e-06,308,0.0020974,0.55,0.68
0.0122,0.0245,5.1e-06,308,0.0021886,0.67,0.66
0.0112,0.0224,3.7e-06,224,0.0016675,0.63,0.70
0.0117,0.0234,4.3e-06,256,0.0017978,0.64,0.71
0.0112,0.0224,4.3e-06,256,0.0018108,0.72,0.70
0.0116,0.0232,3.7e-06,224,0.0016806,0.57,0.69
0.0116,0.0231,4.3e-06,256,0.0018499,0.66,0.69
0.0106,0.0212,3.7e-06,224,0.0017196,0.75,0.68
0.0109,0.0218,3.7e-06,224,0.0017196,0.68,0.68
0.0113,0.0225,3.7e-06,224,0.0016806,0.62,0.69
0.0210,0.0419,9.7e-06,586,0.0037389,0.25,0.59
0.0122,0.0244,5.4e-06,326,0.0022668,0.71,0.66
0.0124,0.0248,5.4e-06,326,0.0022928,0.68,0.65
0.0124,0.0248,5.4e-06,326,0.0022538,0.68,0.66
0.0126,0.0252,5.4e-06,326,0.0022668,0.65,0.66
0.0123,0.0246,5.4e-06,326,0.0022668,0.70,0.66
0.0143,0.0285,5.4e-06,326,0.0023450,0.45,0.64
0.0127,0.0255,5.4e-06,326,0.0022668,0.63,0.66
0.0135,0.0270,5.4e-06,326,0.0022668,0.53,0.66
0.0179,0.0358,7.6e-06,458,0.0031006,0.32,0.60
0.0148,0.0296,6.0e-06,362,0.0024752,0.44,0.65
0.0115,0.0230,4.5e-06,273,0.0019541,0.71,0.68
0.0115,0.0230,4.5e-06,273,0.0019932,0.72,0.67
0.0116,0.0233,4.5e-06,273,0.0019802,0.69,0.67
0.0116,0.0233,4.5e-06,273,0.0019802,0.69,0.67
0.0115,0.0230,4.5e-06,273,0.0019802,0.71,0.67
0.0119,0.0237,4.5e-06,273,0.0020062,0.65,0.66
0.0127,0.0255,4.5e-06,273,0.0019672,0.52,0.67
0.0122,0.0243,4.5e-06,273,0.0019802,0.60,0.67
0.0126,0.0252,4.5e-06,273,0.0020193,0.54,0.66
0.0119,0.0239,4.5e-06,273,0.0019802,0.64,0.67
0.0115,0.0230,4.5e-06,273,0.0019802,0.71,0.67
0.0152,0.0304,6.6e-06,398,0.0026185,0.45,0.65
0.0128,0.0256,5.1e-06,307,0.0021105,0.58,0.68
0.0133,0.0265,5.1e-06,307,0.0022017,0.52,0.65
0.0126,0.0253,5.1e-06,307,0.0021756,0.60,0.66
0.0131,0.0262,5.1e-06,307,0.0021626,0.54,0.66
0.0126,0.0253,5.1e-06,307,0.0021365,0.60,0.67
0.0139,0.0279,5.1e-06,307,0.0022147,0.45,0.65
0.0123,0.0246,5.1e-06,307,0.0021365,0.66,0.67
0.0122,0.0244,5.1e-06,307,0.0021105,0.67,0.68
0.0123,0.0245,5.1e-06,307,0.0021365,0.66,0.67
0.0120,0.0240,5.1e-06,307,0.0021495,0.70,0.67
0.0152,0.0303,6.2e-06,375,0.0024883,0.43,0.66
0.0150,0.0299,6.3e-06,381,0.0026576,0.45,0.62
0.0114,0.0228,4.2e-06,255,0.0018108,0.68,0.70
0.0117,0.0234,4.2e-06,255,0.0018629,0.63,0.68
0.0151,0.0302,7.0e-06,419,0.0028140,0.48,0.63
0.0109,0.0218,3.7e-06,223,0.0016936,0.69,0.68
0.0109,0.0218,3.7e-06,223,0.0017066,0.69,0.68
0.0123,0.0246,5.4e-06,325,0.0022407,0.70,0.66
0.0134,0.0267,5.4e-06,325,0.0022147,0.54,0.67
0.0122,0.0245,5.4e-06,325,0.0022668,0.70,0.66
0.0128,0.0256,5.4e-06,325,0.0022798,0.61,0.65
0.0127,0.0253,5.4e-06,325,0.0022538,0.63,0.66
0.0130,0.0261,5.4e-06,325,0.0023059,0.58,0.65
0.0125,0.0249,5.4e-06,325,0.0022668,0.67,0.66
0.0127,0.0255,5.4e-06,325,0.0022277,0.62,0.67
0.0154,0.0308,6.0e-06,361,0.0025404,0.39,0.63
0.0139,0.0277,6.0e-06,361,0.0024622,0.54,0.65
0.0145,0.0289,6.0e-06,361,0.0024752,0.47,0.65
0.0130,0.0259,5.1e-06,306,0.0021105,0.56,0.68
0.0121,0.0242,5.1e-06,306,0.0021495,0.69,0.67
0.0134,0.0268,5.1e-06,306,0.0022147,0.51,0.65
0.0119,0.0239,4.5e-06,272,0.0019541,0.64,0.68
0.0148,0.0295,5.7e-06,340,0.0023319,0.42,0.66
0.0117,0.0234,4.5e-06,272,0.0019541,0.68,0.68
0.0129,0.0258,5.1e-06,306,0.0021495,0.57,0.67
0.0123,0.0247,5.1e-06,306,0.0020974,0.65,0.68
0.0120,0.0240,4.5e-06,272,0.0020193,0.63,0.65
0.0115,0.0230,4.5e-06,272,0.0019541,0.71,0.68
0.0116,0.0233,4.5e-06,272,0.0019672,0.69,0.67
0.0114,0.0228,4.5e-06,272,0.0019932,0.73,0.66
0.0116,0.0232,4.5e-06,272,0.0019541,0.69,0.68
0.0119,0.0238,5.1e-06,306,0.0021495,0.72,0.67
0.0119,0.0238,4.5e-06,272,0.0020193,0.64,0.65
0.0121,0.0242,4.5e-06,272,0.0019672,0.61,0.67
0.0114,0.0227,4.5e-06,272,0.0019281,0.74,0.69
0.0126,0.0253,4.5e-06,272,0.0019932,0.54,0.66
0.0117,0.0234,4.5e-06,272,0.0020062,0.68,0.66
0.0115,0.0231,4.5e-06,272,0.0019281,0.70,0.69
0.0118,0.0235,4.5e-06,272,0.0019802,0.66,0.67
0.0126,0.0252,5.1e-06,306,0.0021105,0.60,0.68
0.0142,0.0285,5.7e-06,340,0.0023059,0.47,0.67
0.0156,0.0311,6.3e-06,380,0.0026837,0.40,0.62
0.0180,0.0359,8.6e-06,518,0.0032829,0.36,0.62
0.0201,0.0403,9.7e-06,582,0.0036868,0.28,0.60
0.0115,0.0231,4.2e-06,254,0.0018108,0.66,0.70
0.0117,0.0234,4.2e-06,254,0.0018499,0.63,0.68
0.0124,0.0248,5.4e-06,324,0.0022407,0.67,0.66
0.0127,0.0254,5.4e-06,324,0.0021756,0.63,0.68
0.0158,0.0317,7.2e-06,432,0.0026576,0.43,0.68
0.0128,0.0255,5.4e-06,324,0.0022017,0.62,0.67
0.0130,0.0260,6.0e-06,360,0.0024362,0.65,0.65
0.0135,0.0269,5.4e-06,324,0.0022668,0.53,0.66
0.0128,0.0256,5.4e-06,324,0.0022147,0.62,0.67
0.0116,0.0232,3.7e-06,222,0.0016936,0.57,0.68
0.0158,0.0316,6.3e-06,379,0.0025795,0.38,0.64
0.0142,0.0284,6.3e-06,379,0.0025664,0.53,0.64
0.0159,0.0318,6.3e-06,379,0.0026576,0.37,0.62
0.0119,0.0238,5.1e-06,305,0.0021495,0.72,0.66
0.0122,0.0243,5.1e-06,305,0.0021235,0.67,0.67
0.0126,0.0252,5.1e-06,305,0.0021495,0.60,0.66
0.0124,0.0248,5.1e-06,305,0.0021365,0.63,0.67
0.0121,0.0242,5.1e-06,305,0.0021105,0.68,0.68
0.0122,0.0244,5.1e-06,305,0.0021495,0.67,0.66
0.0122,0.0244,5.1e-06,305,0.0020844,0.67,0.68
0.0119,0.0239,5.1e-06,305,0.0020844,0.71,0.68
0.0115,0.0230,4.5e-06,271,0.0019541,0.70,0.68
0.0118,0.0236,4.5e-06,271,0.0019411,0.66,0.68
0.0114,0.0227,4.5e-06,271,0.0019020,0.73,0.69
0.0119,0.0238,4.5e-06,271,0.0019411,0.64,0.68
0.0124,0.0249,4.5e-06,271,0.0019932,0.56,0.66
0.0121,0.0242,4.5e-06,271,0.0019151,0.61,0.69
0.0141,0.0281,6.0e-06,359,0.0024101,0.51,0.66
0.0167,0.0334,7.5e-06,454,0.0030094,0.39,0.62
0.0179,0.0358,7.5e-06,454,0.0032048,0.31,0.58
0.0129,0.0258,5.4e-06,323,0.0022147,0.60,0.67
0.0124,0.0248,5.4e-06,323,0.0022798,0.68,0.65
0.0134,0.0268,5.4e-06,323,0.0022147,0.53,0.67
0.0122,0.0244,5.4e-06,323,0.0022277,0.71,0.67
0.0132,0.0264,5.4e-06,323,0.0022798,0.55,0.65
0.0121,0.0243,5.4e-06,323,0.0021886,0.72,0.68
0.0114,0.0227,4.2e-06,253,0.0018499,0.68,0.68
0.0171,0.0342,7.2e-06,436,0.0029573,0.35,0.61
0.0139,0.0277,5.6e-06,338,0.0023189,0.50,0.66
0.0180,0.0360,7.7e-06,466,0.0030224,0.32,0.63
0.0124,0.0248,5.1e-06,304,0.0021365,0.63,0.67
0.0121,0.0242,5.1e-06,304,0.0021365,0.68,0.67
0.0127,0.0253,5.1e-06,304,0.0021626,0.59,0.66
0.0134,0.0267,5.1e-06,304,0.0021756,0.51,0.65
0.0119,0.0238,5.1e-06,304,0.0021365,0.72,0.67
0.0121,0.0241,5.1e-06,304,0.0021365,0.69,0.67
0.0180,0.0359,7.5e-06,453,0.0031266,0.31,0.59
0.0173,0.0347,7.9e-06,475,0.0030875,0.36,0.62
0.0182,0.0365,7.9e-06,475,0.0031917,0.31,0.60
0.0133,0.0266,6.0e-06,358,0.0024231,0.60,0.66
0.0156,0.0312,6.0e-06,358,0.0025273,0.37,0.63
0.0149,0.0297,6.0e-06,358,0.0024752,0.43,0.64
0.0110,0.0220,3.7e-06,221,0.0016675,0.66,0.69
0.0122,0.0244,4.5e-06,270,0.0019411,0.59,0.68
0.0113,0.0227,4.5e-06,270,0.0019802,0.74,0.66
0.0118,0.0237,4.5e-06,270,0.0019281,0.65,0.68
0.0117,0.0234,4.5e-06,270,0.0019672,0.67,0.67
0.0117,0.0235,4.5e-06,270,0.0019672,0.66,0.67
0.0116,0.0232,4.5e-06,270,0.0019802,0.68,0.66
0.0117,0.0233,4.5e-06,270,0.0019541,0.67,0.67
0.0124,0.0248,4.5e-06,270,0.0019541,0.56,0.67
0.0116,0.0231,4.5e-06,270,0.0019672,0.69,0.67
0.0122,0.0244,4.5e-06,270,0.0019672,0.59,0.67
0.0118,0.0235,4.5e-06,270,0.0019802,0.66,0.66
0.0122,0.0243,4.5e-06,270,0.0019541,0.59,0.67
0.0115,0.0231,4.5e-06,270,0.0019802,0.70,0.66
0.0122,0.0245,4.5e-06,270,0.0019541,0.58,0.67
0.0113,0.0226,4.5e-06,270,0.0019672,0.74,0.67
0.0168,0.0335,6.9e-06,415,0.0027749,0.35,0.63
0.0236,0.0472,1.2e-05,693,0.0043903,0.21,0.56
0.0125,0.0250,5.4e-06,322,0.0022538,0.66,0.66
0.0123,0.0245,5.4e-06,322,0.0022407,0.69,0.66
0.0134,0.0268,5.4e-06,322,0.0022538,0.53,0.66
0.0143,0.0286,5.4e-06,322,0.0022668,0.44,0.65
0.0127,0.0254,5.4e-06,322,0.0022277,0.62,0.66
0.0132,0.0263,6.3e-06,377,0.0024752,0.66,0.66
0.0150,0.0301,6.5e-06,393,0.0026837,0.46,0.63
0.0156,0.0313,6.5e-06,393,0.0026837,0.41,0.63
0.0117,0.0233,4.2e-06,252,0.0018108,0.63,0.69
0.0128,0.0256,5.0e-06,303,0.0021105,0.58,0.67
0.0123,0.0245,5.0e-06,303,0.0021626,0.65,0.66
0.0132,0.0263,5.0e-06,303,0.0021495,0.53,0.66
0.0126,0.0252,5.0e-06,303,0.0021495,0.60,0.66
0.0118,0.0236,5.0e-06,303,0.0021365,0.73,0.67
0.0132,0.0264,5.0e-06,303,0.0021235,0.52,0.67
0.0124,0.0248,5.0e-06,303,0.0021495,0.63,0.66
0.0125,0.0250,5.0e-06,303,0.0021235,0.61,0.67
0.0120,0.0240,5.0e-06,303,0.0021235,0.70,0.67
0.0129,0.0258,5.9e-06,357,0.0023450,0.66,0.68
0.0144,0.0288,5.9e-06,357,0.0024362,0.48,0.65
0.0132,0.0263,5.9e-06,357,0.0024101,0.62,0.66
0.0152,0.0304,5.9e-06,357,0.0024883,0.41,0.64
0.0174,0.0347,7.2e-06,434,0.0028530,0.33,0.63
0.0147,0.0293,6.2e-06,370,0.0024883,0.47,0.65
0.0125,0.0250,5.3e-06,321,0.0022277,0.65,0.66
0.0124,0.0247,5.3e-06,321,0.0022277,0.67,0.66
0.0125,0.0250,5.3e-06,321,0.0022147,0.65,0.67
0.0124,0.0248,5.3e-06,321,0.0022538,0.67,0.66
0.0133,0.0266,5.3e-06,321,0.0022407,0.54,0.66
0.0114,0.0228,4.5e-06,269,0.0019020,0.72,0.69
0.0114,0.0228,4.5e-06,269,0.0019411,0.72,0.68
0.0115,0.0230,4.5e-06,269,0.0019802,0.70,0.66
0.0115,0.0231,4.5e-06,269,0.0019541,0.70,0.67
0.0117,0.0235,4.5e-06,269,0.0019411,0.66,0.68
0.0122,0.0243,4.5e-06,269,0.0020193,0.59,0.65
0.0129,0.0257,4.5e-06,269,0.0020062,0.50,0.65
0.0119,0.0239,4.5e-06,269,0.0019932,0.63,0.66
0.0119,0.0238,4.5e-06,269,0.0019411,0.64,0.68
0.0124,0.0248,4.5e-06,269,0.0019932,0.56,0.66
0.0117,0.0235,4.5e-06,269,0.0019802,0.66,0.66
0.0114,0.0228,4.5e-06,269,0.0019411,0.72,0.68
0.0121,0.0242,4.5e-06,269,0.0019802,0.60,0.66
0.0118,0.0236,4.5e-06,269,0.0019281,0.65,0.68
0.0114,0.0228,4.5e-06,269,0.0019802,0.72,0.66
0.0179,0.0358,7.9e-06,473,0.0031657,0.33,0.60
0.0106,0.0212,3.7e-06,220,0.0017196,0.73,0.67
0.0106,0.0212,3.7e-06,220,0.0016675,0.73,0.69
0.0110,0.0220,3.7e-06,220,0.0016545,0.66,0.69
0.0158,0.0316,6.5e-06,392,0.0026707,0.40,0.63
0.0138,0.0276,5.9e-06,356,0.0024231,0.53,0.65
0.0129,0.0258,5.9e-06,356,0.0023710,0.66,0.67
0.0143,0.0286,5.9e-06,356,0.0023971,0.48,0.66
0.0143,0.0286,5.9e-06,356,0.0024362,0.48,0.65
0.0119,0.0238,5.0e-06,302,0.0021105,0.71,0.67
0.0122,0.0245,5.0e-06,302,0.0021105,0.66,0.67
0.0122,0.0245,5.0e-06,302,0.0020974,0.65,0.68
0.0120,0.0241,5.0e-06,302,0.0020974,0.69,0.68
0.0125,0.0251,5.0e-06,302,0.0021365,0.61,0.66
0.0128,0.0256,5.0e-06,302,0.0020844,0.57,0.68
0.0146,0.0292,6.1e-06,369,0.0024231,0.47,0.67
0.0115,0.0230,4.2e-06,251,0.0018499,0.66,0.68
0.0116,0.0231,4.2e-06,251,0.0018108,0.64,0.69
0.0116,0.0232,4.2e-06,251,0.0018108,0.64,0.69
0.0160,0.0320,7.5e-06,450,0.0028791,0.44,0.64
0.0156,0.0313,6.2e-06,375,0.0025664,0.39,0.64
0.0377,0.0754,2.0e-05,1207,0.0073215,0.09,0.49
0.0123,0.0246,5.3e-06,320,0.0022147,0.68,0.67
0.0125,0.0250,5.3e-06,320,0.0022277,0.65,0.66
0.0122,0.0245,5.3e-06,320,0.0022277,0.69,0.66
0.0120,0.0241,5.3e-06,320,0.0022538,0.73,0.65
0.0156,0.0313,6.5e-06,391,0.0026055,0.41,0.65
0.0159,0.0318,6.5e-06,391,0.0026837,0.39,0.63
0.0174,0.0348,6.8e-06,412,0.0028661,0.31,0.61
0.0159,0.0319,6.8e-06,412,0.0027228,0.40,0.64
0.0113,0.0225,4.5e-06,268,0.0019802,0.74,0.66
0.0114,0.0229,4.5e-06,268,0.0019541,0.71,0.67
0.0116,0.0231,4.5e-06,268,0.0019672,0.69,0.67
0.0113,0.0226,4.5e-06,268,0.0019672,0.74,0.67
0.0116,0.0231,4.5e-06,268,0.0019281,0.69,0.68
0.0115,0.0230,4.5e-06,268,0.0019672,0.70,0.67
0.0131,0.0262,4.5e-06,268,0.0019672,0.48,0.67
0.0179,0.0359,7.8e-06,471,0.0032178,0.32,0.59
0.0213,0.0426,1.1e-05,640,0.0040516,0.26,0.58
0.0157,0.0313,6.2e-06,374,0.0025925,0.39,0.63
0.0157,0.0315,6.2e-06,374,0.0025795,0.38,0.63
0.0145,0.0291,6.2e-06,374,0.0025404,0.48,0.64
0.0167,0.0334,6.2e-06,374,0.0027358,0.32,0.60
0.0241,0.0482,1.1e-05,687,0.0044554,0.20,0.55
0.0115,0.0230,3.6e-06,219,0.0016936,0.57,0.68
0.0110,0.0219,3.6e-06,219,0.0016415,0.66,0.70
0.0109,0.0217,3.6e-06,219,0.0016675,0.68,0.69
0.0111,0.0222,3.6e-06,219,0.0016545,0.64,0.69
0.0108,0.0216,3.6e-06,219,0.0016415,0.69,0.70
0.0118,0.0235,5.0e-06,301,0.0021105,0.74,0.67
0.0123,0.0246,5.0e-06,301,0.0021365,0.64,0.66
0.0133,0.0265,5.0e-06,301,0.0021105,0.51,0.67
0.0130,0.0259,5.0e-06,301,0.0020714,0.55,0.68
0.0122,0.0244,5.0e-06,301,0.0021235,0.66,0.67
0.0125,0.0250,5.0e-06,301,0.0021235,0.61,0.67
0.0122,0.0243,5.0e-06,301,0.0021365,0.66,0.66
0.0127,0.0254,5.0e-06,301,0.0021496,0.58,0.66
0.0152,0.0305,6.5e-06,390,0.0026316,0.44,0.64
0.0138,0.0276,5.3e-06,319,0.0022798,0.48,0.65
0.0139,0.0279,5.3e-06,319,0.0022668,0.47,0.65
0.0184,0.0369,8.8e-06,532,0.0033872,0.34,0.61
0.0185,0.0371,8.2e-06,491,0.0032308,0.31,0.61
0.0113,0.0226,4.2e-06,250,0.0017978,0.69,0.70
0.0110,0.0221,4.2e-06,250,0.0017848,0.74,0.70
0.0115,0.0230,4.2e-06,250,0.0018239,0.65,0.69
0.0188,0.0375,8.2e-06,496,0.0031396,0.30,0.63
0.0146,0.0292,5.6e-06,334,0.0023319,0.43,0.65
0.0139,0.0279,5.6e-06,334,0.0022928,0.49,0.66
0.0131,0.0262,5.9e-06,354,0.0023971,0.63,0.66
0.0148,0.0297,5.9e-06,354,0.0024101,0.43,0.65
0.0130,0.0260,5.9e-06,354,0.0024231,0.64,0.65
