"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729845723.232,2.593223,0.5186446,0.179192
"2",3729845723.674,2.595304,0.5190608,0.174697
"3",3729845724.109,2.613201,0.5226402,0.181067
"4",3729845724.545,2.596026,0.5192052,0.182208
"5",3729845724.974,2.614154,0.5228308,0.177528
"6",3729845725.408,2.585497,0.5170994,0.180486
"7",3729845725.84,2.58893,0.517786,0.181603
"8",3729845726.276,2.609633,0.5219266,0.180286
"9",3729845726.714,2.60726,0.521452,0.181304
"10",3729845727.15,2.617163,0.5234326,0.177584
"11",3729845727.581,2.629,0.5258,0.182227
"12",3729845728.016,2.607493,0.5214986,0.182029
"13",3729845728.446,2.616494,0.5232988,0.181928
"14",3729845728.884,2.612276,0.5224552,0.179089
"15",3729845729.326,2.62172,0.524344,0.180854
"16",3729845729.761,2.615786,0.5231572,0.180919
"17",3729845730.2,2.66043,0.532086,0.18341
"18",3729845730.64,2.63273,0.526546,0.180391
"19",3729845731.081,2.653024,0.5306048,0.184972
"20",3729845731.516,2.65372,0.530744,0.183928
"21",3729845731.956,2.654172,0.5308344,0.185552
"22",3729845732.392,2.661242,0.5322484,0.182124
"23",3729845732.829,2.654036,0.5308072,0.183995
"24",3729845733.265,2.675996,0.5351992,0.183889
"25",3729845733.707,2.698818,0.5397636,0.187737
"26",3729845734.143,2.717322,0.5434644,0.183868
"27",3729845734.572,2.69277,0.538554,0.186042
"28",3729845735.009,2.729689,0.5459378,0.186974
"29",3729845735.447,2.715023,0.5430046,0.185849
"30",3729845735.888,2.721345,0.544269,0.185165
"31",3729845736.328,2.71126,0.542252,0.188247
"32",3729845736.763,2.749017,0.5498034,0.188434
"33",3729845737.204,2.752947,0.5505894,0.191828
"34",3729845737.64,2.811862,0.5623724,0.190869
"35",3729845738.075,2.805218,0.5610436,0.195894
"36",3729845738.512,2.84424,0.568848,0.196605
"37",3729845738.95,2.847316,0.5694632,0.195829
"38",3729845739.386,2.820154,0.5640308,0.193473
"39",3729845739.825,2.840684,0.5681368,0.195518
"40",3729845740.262,2.832413,0.5664826,0.196876
"41",3729845740.704,2.862474,0.5724948,0.195639
"42",3729845741.139,2.917452,0.5834904,0.200981
"43",3729845741.572,2.929335,0.585867,0.202796
"44",3729845742.006,2.955673,0.5911346,0.207851
"45",3729845742.433,2.954866,0.5909732,0.205963
"46",3729845742.867,2.92984,0.585968,0.210862
"47",3729845743.304,2.968163,0.5936326,0.20564
"48",3729845743.742,2.966461,0.5932922,0.210307
"49",3729845744.178,3.023088,0.6046176,0.209431
"50",3729845744.613,3.060379,0.6120758,0.210311
"51",3729845745.049,3.061596,0.6123192,0.214896
"52",3729845745.485,3.096678,0.6193356,0.217407
"53",3729845745.911,3.082097,0.6164194,0.216637
"54",3729845746.342,3.093171,0.6186342,0.214768
"55",3729845746.777,3.10207,0.620414,0.215754
"56",3729845747.213,3.080396,0.6160792,0.219106
"57",3729845747.646,3.097265,0.619453,0.21935
"58",3729845748.082,3.110711,0.6221422,0.216381
"59",3729845748.517,3.122113,0.6244226,0.220543
"60",3729845748.953,3.14872,0.629744,0.221524
"61",3729845749.385,3.213704,0.6427408,0.226222
"62",3729845749.819,3.241661,0.6483322,0.226364
"63",3729845750.256,3.281803,0.6563606,0.226272
"64",3729845750.694,3.286608,0.6573216,0.231992
"65",3729845751.13,3.346853,0.6693706,0.234949
"66",3729845751.568,3.359665,0.671933,0.235979
"67",3729845752.005,3.34245,0.66849,0.232825
"68",3729845752.446,3.343836,0.6687672,0.233938
"69",3729845752.883,3.356935,0.671387,0.231155
"70",3729845753.324,3.356946,0.6713892,0.234373
"71",3729845753.759,3.361892,0.6723784,0.237577
"72",3729845754.195,3.382843,0.6765686,0.236127
"73",3729845754.634,3.413057,0.6826114,0.237567
"74",3729845755.076,3.439449,0.6878898,0.242405
"75",3729845755.512,3.481629,0.6963258,0.242162
"76",3729845755.949,3.499147,0.6998294,0.245101
"77",3729845756.388,3.521484,0.7042968,0.245506
"78",3729845756.824,3.495129,0.6990258,0.245755
"79",3729845757.258,3.514064,0.7028128,0.245489
"80",3729845757.697,3.515551,0.7031102,0.247473
"81",3729845758.138,3.552913,0.7105826,0.245118
"82",3729845758.575,3.583658,0.7167316,0.247139
"83",3729845759.011,3.615073,0.7230146,0.25166
"84",3729845759.447,3.559492,0.7118984,0.252913
"85",3729845759.885,3.600618,0.7201236,0.249234
"86",3729845760.322,3.578122,0.7156244,0.253118
"87",3729845760.761,3.621739,0.7243478,0.253926
"88",3729845761.192,3.615079,0.7230158,0.252709
"89",3729845761.626,3.632769,0.7265538,0.255885
"90",3729845762.067,3.68268,0.736536,0.256364
"91",3729845762.506,3.675919,0.7351838,0.255136
"92",3729845762.945,3.666415,0.733283,0.254918
"93",3729845763.383,3.651816,0.7303632,0.255652
"94",3729845763.827,3.678656,0.7357312,0.261001
"95",3729845764.27,3.653439,0.7306878,0.259648
"96",3729845764.705,3.629386,0.7258772,0.259855
"97",3729845765.14,3.675599,0.7351198,0.2585
"98",3729845765.575,3.689375,0.737875,0.260414
"99",3729845766.009,3.68193,0.736386,0.258061
"100",3729845766.45,3.722077,0.7444154,0.257092
"101",3729845766.884,3.716268,0.7432536,0.259417
"102",3729845767.322,3.703716,0.7407432,0.264947
"103",3729845767.763,3.709828,0.7419656,0.263494
"104",3729845768.206,3.745279,0.7490558,0.264305
"105",3729845768.641,3.744623,0.7489246,0.265334
"106",3729845769.076,3.751806,0.7503612,0.266634
"107",3729845769.512,3.729742,0.7459484,0.267789
"108",3729845769.955,3.774192,0.7548384,0.264491
"109",3729845770.391,3.781402,0.7562804,0.271226
"110",3729845770.823,3.833407,0.7666814,0.272824
"111",3729845771.247,3.875365,0.775073,0.273237
"112",3729845771.681,3.872947,0.7745894,0.276612
"113",3729845772.116,3.9157,0.78314,0.277226
"114",3729845772.551,3.904134,0.7808268,0.27737
"115",3729845772.986,3.953081,0.7906162,0.281041
"116",3729845773.422,3.949215,0.789843,0.281817
"117",3729845773.857,3.952586,0.7905172,0.27828
"118",3729845774.298,3.98834,0.797668,0.284536
"119",3729845774.73,3.979847,0.7959694,0.28596
"120",3729845775.164,4.021737,0.8043474,0.286088
"121",3729845775.597,4.026141,0.8052282,0.284954
"122",3729845776.031,4.015609,0.8031218,0.287579
"123",3729845776.466,4.065044,0.8130088,0.28576
"124",3729845776.902,4.042879,0.8085758,0.288234
"125",3729845777.337,4.087854,0.8175708,0.288981
"126",3729845777.773,4.080956,0.8161912,0.291513
"127",3729845778.198,4.088402,0.8176804,0.290699
"128",3729845778.621,4.073645,0.814729,0.291444
"129",3729845779.054,4.077983,0.8155966,0.291658
"130",3729845779.49,4.0967,0.81934,0.290954
"131",3729845779.925,4.120879,0.8241758,0.291154
"132",3729845780.361,4.081381,0.8162762,0.291509
"133",3729845780.797,4.084418,0.8168836,0.291561
"134",3729845781.233,4.099654,0.8199308,0.297332
"135",3729845781.665,4.106763,0.8213526,0.292169
"136",3729845782.101,4.14922,0.829844,0.298333
"137",3729845782.537,4.186889,0.8373778,0.295449
"138",3729845782.973,4.119241,0.8238482,0.296044
"139",3729845783.408,4.112341,0.8224682,0.296973
"140",3729845783.844,4.142438,0.8284876,0.296835
"141",3729845784.279,4.051167,0.8102334,0.295801
"142",3729845784.715,4.060208,0.8120416,0.289668
"143",3729845785.151,4.048801,0.8097602,0.289686
"144",3729845785.579,4.06029,0.812058,0.289063
"145",3729845786.014,4.048631,0.8097262,0.289088
"146",3729845786.441,4.070954,0.8141908,0.289332
"147",3729845786.874,4.066017,0.8132034,0.291199
"148",3729845787.31,4.070659,0.8141318,0.29243
"149",3729845787.745,4.079438,0.8158876,0.291125
"150",3729845788.181,4.114144,0.8228288,0.295185
"151",3729845788.617,4.122629,0.8245258,0.294394
"152",3729845789.046,4.06088,0.812176,0.2939
"153",3729845789.484,4.086281,0.8172562,0.29089
"154",3729845789.924,4.070065,0.814013,0.293109
"155",3729845790.36,4.076418,0.8152836,0.293912
"156",3729845790.796,4.068719,0.8137438,0.29275
"157",3729845791.223,4.086494,0.8172988,0.291989
"158",3729845791.659,4.083949,0.8167898,0.293424
"159",3729845792.097,4.114368,0.8228736,0.296065
"160",3729845792.534,4.133389,0.8266778,0.301489
"161",3729845792.969,4.15216,0.830432,0.300641
"162",3729845793.405,4.143778,0.8287556,0.296745
"163",3729845793.841,4.152379,0.8304758,0.299604
"164",3729845794.276,4.143677,0.8287354,0.299053
"165",3729845794.709,4.14897,0.829794,0.300013
"166",3729845795.147,4.158486,0.8316972,0.298493
"167",3729845795.577,4.166089,0.8332178,0.300002
"168",3729845796.011,4.16172,0.832344,0.298128
"169",3729845796.447,4.149095,0.829819,0.29672
"170",3729845796.885,4.151574,0.8303148,0.297177
"171",3729845797.323,4.165555,0.833111,0.303223
"172",3729845797.761,4.14076,0.828152,0.297509
"173",3729845798.197,4.118584,0.8237168,0.298163
"174",3729845798.636,4.152772,0.8305544,0.298749
"175",3729845799.07,4.175461,0.8350922,0.299193
"176",3729845799.509,4.177977,0.8355954,0.301949
"177",3729845799.944,4.160893,0.8321786,0.302297
"178",3729845800.382,4.160027,0.8320054,0.30041
"179",3729845800.824,4.154311,0.8308622,0.299578
"180",3729845801.264,4.11244,0.822488,0.301573
"181",3729845801.699,4.178845,0.835769,0.298985
"182",3729845802.135,4.128716,0.8257432,0.294888
"183",3729845802.566,4.128415,0.825683,0.297807
"184",3729845803.002,4.10327,0.820654,0.30187
