"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729845529.102,2.619885,0.523977,0.140921
"2",3729845529.544,2.627094,0.5254188,0.138106
"3",3729845529.985,2.606454,0.5212908,0.141087
"4",3729845530.422,2.597522,0.5195044,0.141863
"5",3729845530.854,2.584275,0.516855,0.140319
"6",3729845531.289,2.577693,0.5155386,0.142256
"7",3729845531.725,2.609603,0.5219206,0.142754
"8",3729845532.161,2.584138,0.5168276,0.141256
"9",3729845532.597,2.628454,0.5256908,0.138438
"10",3729845533.038,2.607407,0.5214814,0.142632
"11",3729845533.482,2.584516,0.5169032,0.147714
"12",3729845533.924,2.59124,0.518248,0.141442
"13",3729845534.359,2.582895,0.516579,0.144136
"14",3729845534.794,2.621536,0.5243072,0.143195
"15",3729845535.234,2.604754,0.5209508,0.146867
"16",3729845535.669,2.605445,0.521089,0.142247
"17",3729845536.11,2.64104,0.528208,0.143899
"18",3729845536.545,2.602568,0.5205136,0.144986
"19",3729845536.987,2.617179,0.5234358,0.142647
"20",3729845537.423,2.605327,0.5210654,0.145072
"21",3729845537.862,2.629458,0.5258916,0.141048
"22",3729845538.296,2.648454,0.5296908,0.148949
"23",3729845538.732,2.639901,0.5279802,0.146257
"24",3729845539.172,2.636637,0.5273274,0.145766
"25",3729845539.608,2.680409,0.5360818,0.147182
"26",3729845540.043,2.670567,0.5341134,0.148851
"27",3729845540.467,2.689226,0.5378452,0.142144
"28",3729845540.902,2.698384,0.5396768,0.146012
"29",3729845541.337,2.71252,0.542504,0.145986
"30",3729845541.77,2.706785,0.541357,0.149881
"31",3729845542.205,2.737477,0.5474954,0.146903
"32",3729845542.64,2.797209,0.5594418,0.147755
"33",3729845543.076,2.797763,0.5595526,0.147905
"34",3729845543.512,2.798716,0.5597432,0.149024
"35",3729845543.95,2.818277,0.5636554,0.148808
"36",3729845544.386,2.85452,0.570904,0.153158
"37",3729845544.824,2.887449,0.5774898,0.150741
"38",3729845545.261,2.907375,0.581475,0.151187
"39",3729845545.699,3.025389,0.6050778,0.159754
"40",3729845546.136,2.985011,0.5970022,0.15904
"41",3729845546.578,3.004749,0.6009498,0.161304
"42",3729845547.013,3.003436,0.6006872,0.161188
"43",3729845547.448,3.015612,0.6031224,0.158784
"44",3729845547.882,3.076802,0.6153604,0.165661
"45",3729845548.324,3.096853,0.6193706,0.162964
"46",3729845548.765,3.146508,0.6293016,0.166957
"47",3729845549.2,3.194974,0.6389948,0.167281
"48",3729845549.636,3.189737,0.6379474,0.172708
"49",3729845550.073,3.175863,0.6351726,0.170041
"50",3729845550.512,3.208305,0.641661,0.173191
"51",3729845550.948,3.245162,0.6490324,0.175443
"52",3729845551.384,3.267157,0.6534314,0.177638
"53",3729845551.825,3.297143,0.6594286,0.173718
"54",3729845552.261,3.310362,0.6620724,0.1775
"55",3729845552.699,3.228448,0.6456896,0.176583
"56",3729845553.136,3.274495,0.654899,0.175153
"57",3729845553.579,3.287768,0.6575536,0.175185
"58",3729845554.015,3.337552,0.6675104,0.179956
"59",3729845554.451,3.362504,0.6725008,0.178763
"60",3729845554.886,3.330542,0.6661084,0.182557
"61",3729845555.321,3.379053,0.6758106,0.181835
"62",3729845555.762,3.367446,0.6734892,0.180642
"63",3729845556.197,3.420694,0.6841388,0.18071
"64",3729845556.636,3.454507,0.6909014,0.189207
"65",3729845557.072,3.415718,0.6831436,0.189566
"66",3729845557.5,3.460752,0.6921504,0.18581
"67",3729845557.934,3.485121,0.6970242,0.190741
"68",3729845558.369,3.508703,0.7017406,0.189424
"69",3729845558.805,3.520869,0.7041738,0.191283
"70",3729845559.241,3.51225,0.70245,0.193432
"71",3729845559.675,3.517798,0.7035596,0.190782
"72",3729845560.11,3.576616,0.7153232,0.191106
"73",3729845560.55,3.544919,0.7089838,0.192536
"74",3729845560.985,3.589303,0.7178606,0.197793
"75",3729845561.421,3.598353,0.7196706,0.196917
"76",3729845561.857,3.625509,0.7251018,0.195415
"77",3729845562.297,3.619472,0.7238944,0.197322
"78",3729845562.734,3.577721,0.7155442,0.196668
"79",3729845563.171,3.613895,0.722779,0.197119
"80",3729845563.603,3.685013,0.7370026,0.197314
"81",3729845564.042,3.678541,0.7357082,0.202484
"82",3729845564.504,3.701688,0.7403376,0.197603
"83",3729845564.939,3.68088,0.736176,0.204685
"84",3729845565.369,3.729719,0.7459438,0.202596
"85",3729845565.802,3.745459,0.7490918,0.207434
"86",3729845566.237,3.716133,0.7432266,0.202072
"87",3729845566.673,3.74079,0.748158,0.204895
"88",3729845567.109,3.714908,0.7429816,0.203679
"89",3729845567.541,3.781309,0.7562618,0.209126
"90",3729845567.974,3.812116,0.7624232,0.208703
"91",3729845568.409,3.784284,0.7568568,0.207897
"92",3729845568.844,3.799838,0.7599676,0.211872
"93",3729845569.281,3.843324,0.7686648,0.209029
"94",3729845569.716,3.863034,0.7726068,0.212195
"95",3729845570.151,3.839276,0.7678552,0.213007
"96",3729845570.587,3.900033,0.7800066,0.211663
