"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729842892.317,2.570991,0.5141982,0.104424
"2",3729842892.761,2.567816,0.5135632,0.108614
"3",3729842893.197,2.590633,0.5181266,0.103106
"4",3729842893.632,2.588289,0.5176578,0.104672
"5",3729842894.065,2.60968,0.521936,0.103631
"6",3729842894.5,2.596143,0.5192286,0.10462
"7",3729842894.94,2.610205,0.522041,0.101716
"8",3729842895.376,2.597842,0.5195684,0.105045
"9",3729842895.811,2.596598,0.5193196,0.10487
"10",3729842896.248,2.611694,0.5223388,0.103005
"11",3729842896.68,2.608359,0.5216718,0.103329
"12",3729842897.115,2.613297,0.5226594,0.106197
"13",3729842897.539,2.62987,0.525974,0.104608
"14",3729842897.963,2.629356,0.5258712,0.107496
"15",3729842898.386,2.553682,0.5107364,0.144807
"16",3729842898.809,2.624033,0.5248066,0.105191
"17",3729842899.232,2.63099,0.526198,0.105633
"18",3729842899.656,2.691006,0.5382012,0.121337
"19",3729842900.077,2.625503,0.5251006,0.127848
"20",3729842900.5,2.580117,0.5160234,0.143792
"21",3729842900.923,2.623535,0.524707,0.120847
"22",3729842901.346,2.616823,0.5233646,0.107872
"23",3729842901.769,2.63335,0.52667,0.102402
"24",3729842902.191,2.625677,0.5251354,0.107221
"25",3729842902.614,2.661359,0.5322718,0.106231
"26",3729842903.037,2.740152,0.5480304,0.103551
"27",3729842903.459,2.648225,0.529645,0.126144
"28",3729842903.883,2.641342,0.5282684,0.141065
"29",3729842904.305,2.637439,0.5274878,0.107526
"30",3729842904.727,2.640146,0.5280292,0.110094
"31",3729842905.15,2.629897,0.5259794,0.10868
"32",3729842905.571,2.644756,0.5289512,0.106484
"33",3729842905.994,2.653637,0.5307274,0.108537
"34",3729842906.415,2.640124,0.5280248,0.109144
"35",3729842906.838,2.642391,0.5284782,0.107781
"36",3729842907.259,2.642221,0.5284442,0.108207
"37",3729842907.681,2.653151,0.5306302,0.107892
"38",3729842908.104,2.639288,0.5278576,0.105926
"39",3729842908.526,2.64143,0.528286,0.108234
"40",3729842908.948,2.650619,0.5301238,0.109497
"41",3729842909.374,2.663509,0.5327018,0.135054
"42",3729842909.808,2.652536,0.5305072,0.104116
"43",3729842910.244,2.659726,0.5319452,0.105115
"44",3729842910.679,2.651998,0.5303996,0.105712
"45",3729842911.117,2.657326,0.5314652,0.105055
"46",3729842911.553,2.661987,0.5323974,0.10521
"47",3729842911.987,2.681293,0.5362586,0.10472
"48",3729842912.425,2.7047,0.54094,0.105946
"49",3729842912.861,2.695418,0.5390836,0.10265
"50",3729842913.298,2.696435,0.539287,0.103336
"51",3729842913.734,2.669204,0.5338408,0.104162
"52",3729842914.17,2.690981,0.5381962,0.103521
"53",3729842914.605,2.673615,0.534723,0.105845
"54",3729842915.041,2.668645,0.533729,0.104428
"55",3729842915.47,2.706213,0.5412426,0.105838
"56",3729842915.905,2.699856,0.5399712,0.111294
"57",3729842916.342,2.707916,0.5415832,0.105961
"58",3729842916.774,2.707211,0.5414422,0.109501
"59",3729842917.21,2.70687,0.541374,0.108764
"60",3729842917.647,2.713195,0.542639,0.104899
"61",3729842918.087,2.704255,0.540851,0.106832
"62",3729842918.52,2.712477,0.5424954,0.106223
"63",3729842918.955,2.700886,0.5401772,0.110639
"64",3729842919.385,2.725577,0.5451154,0.108824
"65",3729842919.819,2.729936,0.5459872,0.105865
"66",3729842920.255,2.731952,0.5463904,0.110922
"67",3729842920.691,2.772079,0.5544158,0.109956
"68",3729842921.127,2.78765,0.55753,0.109766
"69",3729842921.561,2.79929,0.559858,0.110442
"70",3729842921.986,2.793924,0.5587848,0.108022
"71",3729842922.42,2.795269,0.5590538,0.107972
"72",3729842922.855,2.799684,0.5599368,0.11015
"73",3729842923.291,2.805678,0.5611356,0.110128
"74",3729842923.721,2.788832,0.5577664,0.109268
"75",3729842924.156,2.79659,0.559318,0.108966
"76",3729842924.591,2.808874,0.5617748,0.1125
"77",3729842925.03,2.83326,0.566652,0.111735
"78",3729842925.467,2.847602,0.5695204,0.113402
"79",3729842925.905,2.846922,0.5693844,0.112976
"80",3729842926.342,2.866273,0.5732546,0.112431
"81",3729842926.778,2.870436,0.5740872,0.111896
"82",3729842927.216,2.856788,0.5713576,0.11057
"83",3729842927.653,2.852821,0.5705642,0.113206
"84",3729842928.089,2.854683,0.5709366,0.109725
"85",3729842928.525,2.862264,0.5724528,0.110998
"86",3729842928.966,2.876017,0.5752034,0.108649
"87",3729842929.402,2.911635,0.582327,0.114428
"88",3729842929.838,2.915417,0.5830834,0.114808
"89",3729842930.281,2.920025,0.584005,0.115295
"90",3729842930.722,2.931907,0.5863814,0.115871
"91",3729842931.158,2.943116,0.5886232,0.1123
"92",3729842931.593,2.946692,0.5893384,0.114513
"93",3729842932.029,2.942086,0.5884172,0.115609
"94",3729842932.46,2.941936,0.5883872,0.114746
"95",3729842932.895,2.950962,0.5901924,0.114076
"96",3729842933.332,2.954914,0.5909828,0.115435
"97",3729842933.769,2.95627,0.591254,0.115348
"98",3729842934.205,2.989338,0.5978676,0.113552
"99",3729842934.64,2.986011,0.5972022,0.116379
"100",3729842935.076,2.990429,0.5980858,0.117097
"101",3729842935.506,2.981958,0.5963916,0.112659
"102",3729842935.939,2.985341,0.5970682,0.115031
"103",3729842936.375,2.984292,0.5968584,0.120713
"104",3729842936.801,2.996226,0.5992452,0.116954
"105",3729842937.236,3.00925,0.60185,0.116678
"106",3729842937.671,3.001661,0.6003322,0.118078
"107",3729842938.108,3.017936,0.6035872,0.113156
"108",3729842938.543,3.008947,0.6017894,0.117269
"109",3729842938.979,3.023176,0.6046352,0.115435
"110",3729842939.408,3.018293,0.6036586,0.116602
"111",3729842939.842,3.015503,0.6031006,0.11796
"112",3729842940.283,3.031428,0.6062856,0.117821
"113",3729842940.719,3.058072,0.6116144,0.11684
"114",3729842941.16,3.039364,0.6078728,0.119023
"115",3729842941.596,3.032272,0.6064544,0.118263
"116",3729842942.033,3.025824,0.6051648,0.115507
"117",3729842942.469,3.03234,0.606468,0.117484
"118",3729842942.907,3.028018,0.6056036,0.115621
"119",3729842943.343,3.056388,0.6112776,0.11879
"120",3729842943.781,3.058854,0.6117708,0.11971
"121",3729842944.219,3.06353,0.612706,0.117545
"122",3729842944.655,3.073098,0.6146196,0.117525
"123",3729842945.09,3.080207,0.6160414,0.119368
"124",3729842945.526,3.076814,0.6153628,0.119887
"125",3729842945.965,3.068466,0.6136932,0.120481
"126",3729842946.396,3.079492,0.6158984,0.122355
"127",3729842946.829,3.101103,0.6202206,0.11979
"128",3729842947.262,3.098925,0.619785,0.122225
"129",3729842947.688,3.093884,0.6187768,0.119845
"130",3729842948.121,3.106489,0.6212978,0.120833
"131",3729842948.555,3.140654,0.6281308,0.122125
"132",3729842948.992,3.138417,0.6276834,0.123525
"133",3729842949.425,3.140371,0.6280742,0.121355
"134",3729842949.858,3.14324,0.628648,0.120304
"135",3729842950.282,3.160993,0.6321986,0.122609
"136",3729842950.706,3.161608,0.6323216,0.124316
"137",3729842951.139,3.143672,0.6287344,0.119505
"138",3729842951.574,3.156494,0.6312988,0.123405
"139",3729842952.002,3.157229,0.6314458,0.121939
"140",3729842952.429,3.139927,0.6279854,0.123244
"141",3729842952.866,3.152739,0.6305478,0.124054
"142",3729842953.302,3.142026,0.6284052,0.120097
"143",3729842953.74,3.154927,0.6309854,0.123274
"144",3729842954.177,3.166061,0.6332122,0.121536
"145",3729842954.613,3.182763,0.6365526,0.123152
"146",3729842955.048,3.198414,0.6396828,0.125455
"147",3729842955.484,3.210657,0.6421314,0.124898
