"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729844212.803,2.616455,0.523291,0.10399
"2",3729844213.245,2.609361,0.5218722,0.100391
"3",3729844213.681,2.601638,0.5203276,0.104565
"4",3729844214.117,2.602291,0.5204582,0.102052
"5",3729844214.55,2.61913,0.523826,0.101828
"6",3729844214.986,2.613565,0.522713,0.103443
"7",3729844215.421,2.622937,0.5245874,0.103464
"8",3729844215.86,2.613711,0.5227422,0.106489
"9",3729844216.302,2.610323,0.5220646,0.100514
"10",3729844216.742,2.613819,0.5227638,0.103746
"11",3729844217.176,2.616929,0.5233858,0.104741
"12",3729844217.61,2.635678,0.5271356,0.10522
"13",3729844218.046,2.611742,0.5223484,0.104282
"14",3729844218.478,2.633745,0.526749,0.104646
"15",3729844218.92,2.608565,0.521713,0.106279
"16",3729844219.356,2.622035,0.524407,0.103542
"17",3729844219.789,2.628204,0.5256408,0.100747
"18",3729844220.227,2.629813,0.5259626,0.104407
"19",3729844220.665,2.622978,0.5245956,0.103703
"20",3729844221.106,2.632756,0.5265512,0.103564
"21",3729844221.545,2.637162,0.5274324,0.102354
"22",3729844221.986,2.650149,0.5300298,0.104822
"23",3729844222.417,2.637081,0.5274162,0.103433
"24",3729844222.851,2.65669,0.531338,0.103972
"25",3729844223.287,2.650676,0.5301352,0.10108
"26",3729844223.722,2.6632,0.53264,0.106167
"27",3729844224.157,2.675169,0.5350338,0.101225
"28",3729844224.594,2.658586,0.5317172,0.103639
"29",3729844225.03,2.675283,0.5350566,0.104066
"30",3729844225.466,2.67849,0.535698,0.107945
"31",3729844225.901,2.694596,0.5389192,0.10609
"32",3729844226.337,2.67827,0.535654,0.106903
"33",3729844226.772,2.705994,0.5411988,0.107931
"34",3729844227.198,2.711413,0.5422826,0.103141
"35",3729844227.628,2.691656,0.5383312,0.105367
"36",3729844228.063,2.705385,0.541077,0.103462
"37",3729844228.499,2.693295,0.538659,0.105709
"38",3729844228.935,2.713786,0.5427572,0.103755
"39",3729844229.364,2.725333,0.5450666,0.105951
"40",3729844229.8,2.732687,0.5465374,0.10552
"41",3729844230.237,2.746326,0.5492652,0.105676
"42",3729844230.672,2.729973,0.5459946,0.106775
"43",3729844231.107,2.746632,0.5493264,0.107055
"44",3729844231.548,2.751979,0.5503958,0.109216
"45",3729844231.984,2.758582,0.5517164,0.105727
