3729845124.667000	0.108908	2.584784
3729845125.103000	0.111856	2.581131
3729845125.540000	0.111870	2.585406
3729845125.975000	0.111635	2.584462
3729845126.400000	0.112175	2.592577
3729845126.834000	0.111893	2.585564
3729845127.269000	0.115159	2.597287
3729845127.705000	0.111597	2.591288
3729845128.140000	0.113153	2.599953
3729845128.574000	0.110819	2.581580
3729845129.008000	0.110618	2.584606
3729845129.448000	0.109906	2.593245
3729845129.883000	0.112282	2.606914
3729845130.320000	0.112851	2.608547
3729845130.756000	0.117071	2.607880
3729845131.192000	0.112930	2.598197
3729845131.627000	0.111891	2.601371
3729845132.064000	0.111837	2.622355
3729845132.502000	0.116532	2.618589
3729845132.938000	0.112380	2.618782
3729845133.376000	0.112722	2.631717
3729845133.810000	0.115963	2.624932
3729845134.243000	0.116614	2.617123
3729845134.670000	0.116305	2.626167
3729845135.104000	0.111448	2.627473
3729845135.541000	0.111753	2.640521
3729845135.976000	0.112438	2.641552
3729845136.412000	0.114594	2.665488
3729845136.847000	0.118481	2.663866
3729845137.281000	0.114520	2.671140
3729845137.717000	0.117346	2.667872
3729845138.143000	0.115650	2.671567
3729845138.577000	0.114404	2.671667
3729845139.012000	0.114664	2.700243
3729845139.447000	0.114284	2.724345
3729845139.885000	0.115155	2.724341
3729845140.320000	0.117402	2.744807
3729845140.756000	0.119203	2.735893
3729845141.192000	0.118004	2.736304
3729845141.629000	0.119015	2.732303
3729845142.065000	0.116676	2.747411
3729845142.501000	0.121525	2.767918
3729845142.936000	0.120301	2.776078
3729845143.372000	0.120013	2.777824
3729845143.807000	0.118746	2.781573
3729845144.236000	0.121685	2.790555
3729845144.671000	0.121489	2.796173
3729845145.106000	0.122793	2.825616
3729845145.541000	0.120771	2.823811
3729845145.973000	0.120551	2.819655
3729845146.406000	0.119581	2.828714
3729845146.842000	0.122488	2.815155
3729845147.276000	0.123983	2.839799
3729845147.711000	0.123913	2.859405
3729845148.147000	0.121141	2.841617
3729845148.582000	0.121010	2.844635
3729845149.018000	0.122992	2.867857
3729845149.454000	0.123924	2.897410
3729845149.889000	0.124993	2.903715
3729845150.324000	0.125303	2.900323
3729845150.760000	0.124832	2.903343
3729845151.195000	0.125117	2.909882
3729845151.632000	0.125783	2.930620
3729845152.072000	0.126039	2.974211
3729845152.507000	0.127731	2.973209
3729845152.943000	0.127713	2.983740
3729845153.369000	0.130877	2.985054
3729845153.803000	0.127373	2.981838
3729845154.229000	0.128156	2.990996
3729845154.662000	0.127858	3.050675
3729845155.095000	0.134442	3.048737
3729845155.530000	0.131812	3.046105
3729845155.966000	0.128793	3.051805
3729845156.402000	0.130807	3.074846
3729845156.844000	0.130881	3.085480
3729845157.279000	0.133131	3.101879
3729845157.722000	0.133475	3.101507
3729845158.158000	0.132749	3.119191
3729845158.593000	0.131222	3.134260
3729845159.029000	0.134045	3.134863
3729845159.465000	0.132829	3.147855
3729845159.902000	0.132263	3.161787
