"","time","ISense [mV]","Current [A]","USample [mV]"
"108",3729845171.244,3.530476,0.7060952,0.149975
"109",3729845171.679,3.528347,0.7056694,0.148627
"110",3729845172.114,3.514294,0.7028588,0.14575
"111",3729845172.549,3.530785,0.706157,0.147912
"112",3729845172.99,3.558111,0.7116222,0.151026
"113",3729845173.429,3.560049,0.7120098,0.149878
"114",3729845173.863,3.560195,0.712039,0.149775
"115",3729845174.298,3.562297,0.7124594,0.149838
"116",3729845174.735,3.561507,0.7123014,0.149674
"117",3729845175.169,3.566656,0.7133312,0.15137
"118",3729845175.604,3.567,0.7134,0.151773
"119",3729845176.04,3.583227,0.7166454,0.15046
"120",3729845176.474,3.578769,0.7157538,0.152465
"121",3729845176.91,3.583392,0.7166784,0.149476
"122",3729845177.346,3.591067,0.7182134,0.14815
"123",3729845177.783,3.649018,0.7298036,0.153423
"124",3729845178.208,3.664361,0.7328722,0.154662
"125",3729845178.632,3.681664,0.7363328,0.15247
"126",3729845179.063,3.689758,0.7379516,0.154841
"127",3729845179.498,3.704798,0.7409596,0.155976
"128",3729845179.934,3.713991,0.7427982,0.157284
"129",3729845180.37,3.71396,0.742792,0.159829
"130",3729845180.806,3.723481,0.7446962,0.157925
"131",3729845181.242,3.771866,0.7543732,0.162272
"132",3729845181.677,3.804992,0.7609984,0.162938
"133",3729845182.116,3.810017,0.7620034,0.161661
"134",3729845182.556,3.819513,0.7639026,0.160721
"135",3729845182.992,3.815635,0.763127,0.162238
"136",3729845183.427,3.820566,0.7641132,0.161298
"137",3729845183.867,3.824268,0.7648536,0.163593
"138",3729845184.301,3.868171,0.7736342,0.163118
"139",3729845184.736,3.938539,0.7877078,0.165607
"140",3729845185.171,3.952342,0.7904684,0.168483
"141",3729845185.608,3.951808,0.7903616,0.170608
"142",3729845186.043,3.956044,0.7912088,0.170901
"143",3729845186.478,3.946419,0.7892838,0.168728
"144",3729845186.914,3.960777,0.7921554,0.168483
"145",3729845187.35,3.974915,0.794983,0.169396
"146",3729845187.787,3.983441,0.7966882,0.168984
"147",3729845188.223,4.021368,0.8042736,0.172781
"148",3729845188.653,4.063778,0.8127556,0.17521
"149",3729845189.093,4.079216,0.8158432,0.17484
"150",3729845189.531,4.074767,0.8149534,0.17817
"151",3729845189.967,4.070484,0.8140968,0.17249
"152",3729845190.406,4.09028,0.818056,0.17694
"153",3729845190.841,4.110978,0.8221956,0.176542
"154",3729845191.275,4.109675,0.821935,0.176416
"155",3729845191.709,4.123751,0.8247502,0.176497
"156",3729845192.145,4.135407,0.8270814,0.177687
"157",3729845192.581,4.153117,0.8306234,0.177428
"158",3729845193.017,4.15324,0.830648,0.179192
