"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729844605.638,2.574651,0.5149302,0.109487
"2",3729844606.077,2.598953,0.5197906,0.11027
"3",3729844606.515,2.566123,0.5132246,0.104966
"4",3729844606.947,2.583669,0.5167338,0.102677
"5",3729844607.377,2.590789,0.5181578,0.104648
"6",3729844607.811,2.587689,0.5175378,0.102844
"7",3729844608.25,2.59267,0.518534,0.10515
"8",3729844608.685,2.597935,0.519587,0.108589
"9",3729844609.12,2.607037,0.5214074,0.107991
"10",3729844609.556,2.587584,0.5175168,0.105595
"11",3729844609.991,2.588708,0.5177416,0.104465
"12",3729844610.428,2.596817,0.5193634,0.105237
"13",3729844610.865,2.5983,0.51966,0.107772
"14",3729844611.301,2.617197,0.5234394,0.107262
"15",3729844611.742,2.599974,0.5199948,0.107497
"16",3729844612.174,2.600214,0.5200428,0.109935
"17",3729844612.61,2.602398,0.5204796,0.109374
"18",3729844613.046,2.611225,0.522245,0.108842
"19",3729844613.486,2.624117,0.5248234,0.111656
"20",3729844613.922,2.633197,0.5266394,0.111206
"21",3729844614.361,2.660028,0.5320056,0.115301
"22",3729844614.797,2.664211,0.5328422,0.110914
"23",3729844615.233,2.666001,0.5332002,0.112021
"24",3729844615.669,2.670231,0.5340462,0.112294
"25",3729844616.107,2.688498,0.5376996,0.113446
"26",3729844616.547,2.713257,0.5426514,0.11296
"27",3729844616.973,2.742717,0.5485434,0.114458
"28",3729844617.406,2.735732,0.5471464,0.113865
"29",3729844617.842,2.73783,0.547566,0.116486
"30",3729844618.278,2.766544,0.5533088,0.115305
"31",3729844618.714,2.781091,0.5562182,0.115406
"32",3729844619.15,2.79011,0.558022,0.115572
"33",3729844619.586,2.772771,0.5545542,0.112101
"34",3729844620.022,2.776865,0.555373,0.11318
"35",3729844620.458,2.804012,0.5608024,0.113578
"36",3729844620.893,2.831145,0.566229,0.114575
"37",3729844621.329,2.833134,0.5666268,0.11643
"38",3729844621.765,2.832911,0.5665822,0.115873
"39",3729844622.198,2.833538,0.5667076,0.115093
"40",3729844622.633,2.838698,0.5677396,0.117152
"41",3729844623.072,2.870775,0.574155,0.115154
